user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase,target_item_id,top_0_recommendation,top_1_recommendation,top_2_recommendation,top_3_recommendation,top_4_recommendation
1283,1,beef,pos,salad,neg,False,corn,32.0,600 (0),351 (1),288 (2),290 (3),305 (4)
1283,2,lettuce,neg,tax,neg,True,corn,32.0,600 (0),351 (1),288 (2),89 (8),376 (5)
1283,3,deep fried,pos,booth,neg,False,corn,32.0,600 (0),351 (1),288 (2),89 (8),376 (5)
1283,4,baked,pos,steak,neg,False,corn,32.0,600 (0),351 (1),288 (2),89 (8),376 (5)
1283,5,tempura,pos,tempura,pos,True,corn,32.0,600 (0),351 (1),288 (2),89 (8),376 (5)
132,1,ramen,neg,sashimi,neg,True,indian,167.0,256 (0),266 (1),185 (2),2142 (3),460 (4)
132,2,lamb,neg,sandwich,neg,True,indian,167.0,256 (0),266 (1),2142 (3),185 (2),784 (6)
132,3,meat,pos,lunch,neg,False,indian,167.0,185 (2),256 (0),266 (1),610 (9),2142 (3)
132,4,curry,pos,fish,neg,False,indian,167.0,69 (14),610 (9),158 (45),50 (38),256 (0)
132,5,buffet,pos,spicy,neg,False,indian,167.0,158 (45),37 (19),256 (0),50 (38),69 (14)
4756,1,quick,neg,curry,neg,True,thai,162.0,0 (0),1 (1),4 (2),7 (3),10 (4)
4756,2,yummy,neg,chair,neg,True,thai,162.0,0 (0),1 (1),4 (2),7 (3),10 (4)
4756,3,downtown,neg,expensive,neg,True,thai,162.0,0 (0),1 (1),4 (2),7 (3),10 (4)
4756,4,busy,neg,fry,neg,True,thai,162.0,0 (0),1 (1),4 (2),10 (4),7 (3)
4756,5,reasonable,neg,patty,neg,True,thai,162.0,0 (0),1 (1),4 (2),7 (3),10 (4)
1196,1,dessert,neg,noodle,neg,True,bread,172.0,15 (0),27 (1),39 (2),40 (3),363 (4)
1196,2,beef,neg,salad,neg,True,wait,172.0,15 (0),0 (18),40 (3),38 (7),281 (6)
1196,3,thai,neg,fast,neg,True,wait,172.0,15 (0),27 (1),40 (3),38 (7),281 (6)
1196,4,wine,neg,tomato,neg,True,bread,172.0,15 (0),40 (3),27 (1),77 (5),38 (7)
1196,5,quick,neg,curry,neg,True,thai,172.0,40 (3),27 (1),77 (5),38 (7),116 (21)
1590,1,quick,neg,curry,neg,True,thai,78.0,88 (0),0 (1),6 (2),1 (3),41 (4)
1590,2,yummy,neg,chair,neg,True,thai,78.0,88 (0),0 (1),58 (6),6 (2),1 (3)
1590,3,downtown,neg,expensive,neg,True,thai,78.0,88 (0),0 (1),58 (6),6 (2),1 (3)
1590,4,busy,neg,fry,neg,True,thai,78.0,0 (1),35 (9),719 (15),1 (3),88 (0)
1590,5,reasonable,neg,patty,neg,True,thai,78.0,941 (71),0 (1),11 (10),843 (90),1 (3)
2738,1,quick,pos,curry,pos,True,thai,1.0,313 (0),3 (1),1 (2),33 (3),5 (4)
2738,2,yummy,neg,chair,neg,True,thai,1.0,44 (23),1 (2),33 (3),3 (1),2 (6)
2738,3,downtown,neg,expensive,neg,True,thai,1.0,44 (23),1 (2),33 (3),3 (1),2 (6)
2738,4,busy,pos,fry,neg,False,thai,1.0,1 (2),33 (3),44 (23),313 (0),3 (1)
2738,5,reasonable,neg,patty,neg,True,thai,1.0,33 (3),3 (1),4 (7),313 (0),1 (2)
3797,1,kimchi,neg,noodle,neg,True,fried chicken,412.0,355 (0),42 (1),40 (2),15 (3),27 (4)
3797,2,quick,neg,curry,neg,True,thai,412.0,0 (13),40 (2),15 (3),1 (49),42 (1)
3797,3,busy,neg,fry,pos,False,thai,412.0,40 (2),15 (3),0 (13),556 (10),42 (1)
3797,4,casual,neg,solid,neg,True,thai,412.0,556 (10),0 (13),15 (3),40 (2),1 (49)
3797,5,reasonable,neg,patty,neg,True,thai,412.0,556 (10),0 (13),15 (3),40 (2),1 (49)
4766,1,quick,neg,curry,neg,True,thai,77.0,0 (0),3 (1),1 (2),4 (3),2 (4)
4766,2,yummy,neg,chair,neg,True,thai,77.0,0 (0),3 (1),1 (2),4 (3),2 (4)
4766,3,downtown,neg,expensive,neg,True,thai,77.0,0 (0),3 (1),1 (2),4 (3),2 (4)
4766,4,busy,neg,fry,neg,True,thai,77.0,0 (0),3 (1),1 (2),4 (3),9 (5)
4766,5,reasonable,neg,patty,neg,True,thai,77.0,0 (0),3 (1),1 (2),4 (3),9 (5)
1547,1,quick,neg,curry,neg,True,ramen,9.0,17 (0),31 (1),59 (2),172 (3),0 (4)
1547,2,salt,neg,tax,neg,True,ramen,9.0,17 (0),31 (1),0 (4),172 (3),33 (7)
1547,3,egg,pos,dessert,pos,True,ramen,9.0,17 (0),31 (1),0 (4),172 (3),33 (7)
1547,4,pork,pos,spicy,pos,True,ramen,9.0,474 (25),134 (28),172 (3),45 (14),17 (0)
1547,5,belly,pos,fried,pos,True,ramen,9.0,134 (28),279 (41),474 (25),65 (58),246 (32)
1677,1,quick,pos,curry,pos,True,thai,0.0,127 (0),2399 (1),240 (2),13 (3),0 (4)
1677,2,yummy,pos,chair,neg,False,thai,0.0,127 (0),106 (31),194 (10),167 (29),0 (4)
1677,3,wait,pos,dinner,pos,True,thai,0.0,127 (0),0 (4),167 (29),881 (25),177 (12)
1677,4,downtown,pos,expensive,neg,False,thai,0.0,127 (0),91 (33),0 (4),177 (12),167 (29)
1677,5,busy,pos,fry,neg,False,thai,0.0,0 (4),4 (9),127 (0),177 (12),91 (33)
6416,1,dinner,pos,fresh,neg,False,beer,57.0,0 (0),1 (1),4 (2),3 (3),6 (4)
6416,2,dog,neg,cheese,neg,True,beer,57.0,0 (0),1 (1),4 (2),3 (3),7 (6)
6416,3,bar,pos,busy,neg,False,beer,57.0,0 (0),1 (1),4 (2),3 (3),54 (28)
6416,4,duck,pos,fish,neg,False,beer,57.0,0 (0),1 (1),3 (3),4 (2),7 (6)
6416,5,sausage,neg,sausage,neg,True,beer,57.0,0 (0),1 (1),4 (2),3 (3),36 (9)
1873,1,quick,neg,curry,neg,True,thai,168.0,234 (0),176 (1),3 (2),29 (3),239 (4)
1873,2,yummy,neg,chair,neg,True,thai,168.0,234 (0),3 (2),176 (1),29 (3),52 (9)
1873,3,downtown,neg,expensive,neg,True,thai,168.0,234 (0),3 (2),176 (1),29 (3),52 (9)
1873,4,avocado,neg,coffee,neg,True,breakfast,168.0,234 (0),239 (4),52 (9),3 (2),176 (1)
1873,5,reasonable,neg,patty,neg,True,thai,168.0,234 (0),29 (3),52 (9),3 (2),244 (16)
2168,1,quick,pos,curry,pos,True,thai,0.0,23 (0),11 (1),63 (2),19 (3),90 (4)
2168,2,yummy,pos,chair,neg,False,thai,0.0,278 (21),19 (3),44 (27),23 (0),548 (13)
2168,3,wait,pos,dinner,pos,True,thai,0.0,0 (5),44 (27),2 (7),6 (9),21 (33)
2168,4,downtown,pos,expensive,neg,False,thai,0.0,0 (5),44 (27),21 (33),63 (2),1672 (249)
2168,5,busy,pos,fry,neg,False,thai,0.0,0 (5),44 (27),63 (2),21 (33),438 (89)
2216,1,quick,neg,curry,neg,True,thai,97.0,1040 (0),0 (1),2159 (2),52 (3),1393 (4)
2216,2,yummy,neg,chair,neg,True,thai,97.0,1040 (0),0 (1),52 (3),2159 (2),899 (10)
2216,3,downtown,neg,expensive,neg,True,thai,97.0,1040 (0),0 (1),52 (3),2159 (2),899 (10)
2216,4,wine,neg,tomato,neg,True,octopus,97.0,1040 (0),0 (1),52 (3),2159 (2),899 (10)
2216,5,casual,neg,solid,neg,True,thai,97.0,1040 (0),2159 (2),0 (1),52 (3),3982 (13)
5541,1,mayo,pos,plaza,neg,False,fry,3.0,0 (0),994 (1),4 (2),2 (3),6 (4)
5541,2,pork belly,pos,fried,pos,True,fry,3.0,0 (0),2 (3),994 (1),6 (4),4 (2)
5541,3,sausage,neg,bacon,neg,True,fry,3.0,0 (0),994 (1),2 (3),4 (2),6 (4)
5541,4,burger,neg,coffee,neg,True,fry,3.0,0 (0),994 (1),2 (3),6 (4),4 (2)
5541,5,duck,neg,fish,neg,True,fry,3.0,0 (0),994 (1),2 (3),6 (4),4 (2)
1428,1,beef,neg,salad,neg,True,wait,302.0,2 (0),51 (1),101 (2),62 (3),1 (4)
1428,2,quick,neg,curry,neg,True,ramen,302.0,2 (0),101 (2),62 (3),64 (14),316 (6)
1428,3,egg,neg,dessert,neg,True,ramen,302.0,2 (0),101 (2),62 (3),316 (6),51 (1)
1428,4,music,neg,fry,neg,True,cocktail,302.0,316 (6),2 (0),62 (3),51 (1),859 (17)
1428,5,bun,neg,brunch,neg,True,ramen,302.0,51 (1),101 (2),859 (17),62 (3),316 (6)
2456,1,tempura,neg,japanese,pos,False,sushi,16.0,2 (0),0 (1),13 (2),293 (3),678 (4)
2456,2,pricey,pos,vegan,neg,False,sushi,16.0,2 (0),678 (4),13 (2),69 (7),3 (5)
2456,3,expensive,pos,parking,neg,False,sushi,16.0,2 (0),242 (6),3 (5),69 (7),13 (2)
2456,4,scallop,pos,scallop,pos,True,sushi,16.0,2 (0),69 (7),0 (1),3 (5),16 (116)
2456,5,fish,pos,fish,pos,True,sushi,16.0,2 (0),69 (7),16 (116),0 (1),34 (8)
1431,1,steamed,pos,chinese,neg,False,pork,3.0,13 (0),154 (1),3 (2),118 (3),0 (4)
1431,2,mayo,pos,plaza,neg,False,fry,3.0,13 (0),3 (2),0 (4),2 (10),10 (12)
1431,3,sausage,neg,bacon,neg,True,fry,3.0,13 (0),3 (2),0 (4),2 (10),10 (12)
1431,4,burger,neg,coffee,neg,True,fry,3.0,0 (4),2 (10),176 (17),13 (0),3 (2)
1431,5,juicy,neg,bun,pos,False,fry,3.0,288 (43),122 (20),2 (10),0 (4),13 (0)
540,1,vietnamese,neg,pork,neg,True,tea,159.0,355 (0),379 (1),365 (2),96 (3),761 (4)
540,2,bubble,pos,fruit,neg,False,tea,159.0,583 (48),355 (0),379 (1),365 (2),761 (4)
540,3,bubble tea,pos,milk tea,pos,True,tea,159.0,583 (48),379 (1),355 (0),365 (2),761 (4)
540,4,matcha,neg,milk,pos,False,tea,159.0,355 (0),379 (1),583 (48),315 (6),365 (2)
540,5,milk,pos,chocolate,neg,False,tea,159.0,583 (48),355 (0),651 (19),315 (6),383 (176)
57,1,spicy,pos,soup,neg,False,taco,18.0,130 (0),294 (1),142 (2),151 (3),468 (4)
57,2,octopus,neg,pizza,neg,True,taco,18.0,536 (17),64 (50),151 (3),945 (14),1268 (348)
57,3,sour,pos,gravy,neg,False,taco,18.0,945 (14),536 (17),64 (50),151 (3),1268 (348)
57,4,market,neg,espresso,neg,True,taco,18.0,18 (57),536 (17),151 (3),64 (50),945 (14)
57,5,fish,pos,egg,neg,False,taco,18.0,18 (57),536 (17),151 (3),64 (50),945 (14)
3789,1,quick,neg,curry,neg,True,thai,185.0,0 (0),1 (1),2 (2),4 (3),6 (4)
3789,2,yummy,neg,chair,neg,True,thai,185.0,0 (0),1 (1),2 (2),4 (3),6 (4)
3789,3,downtown,neg,expensive,neg,True,thai,185.0,0 (0),1 (1),2 (2),4 (3),6 (4)
3789,4,busy,neg,fry,neg,True,thai,185.0,0 (0),1 (1),2 (2),4 (3),12 (5)
3789,5,reasonable,neg,patty,neg,True,thai,185.0,0 (0),1 (1),2 (2),4 (3),12 (5)
1192,1,modern,neg,solid,neg,True,oyster,63.0,7 (0),5 (1),58 (2),26 (3),3 (4)
1192,2,shrimp,neg,curry,neg,True,oyster,63.0,7 (0),5 (1),58 (2),26 (3),3 (4)
1192,3,calamari,pos,attentive,neg,False,oyster,63.0,58 (2),7 (0),5 (1),26 (3),3 (4)
1192,4,baked,neg,steak,neg,True,oyster,63.0,211 (7),26 (3),58 (2),7 (0),5 (1)
1192,5,seafood,pos,shrimp,neg,False,oyster,63.0,187 (14),5 (1),211 (7),26 (3),7 (0)
1062,1,kimchi,neg,noodle,neg,True,fried chicken,13.0,320 (0),0 (1),1190 (2),24 (3),136 (4)
1062,2,crispy,pos,fast,neg,False,chicken,13.0,320 (0),1190 (2),0 (1),136 (4),24 (3)
1062,3,rib,pos,dessert,neg,False,fried chicken,13.0,18 (9),0 (1),24 (3),320 (0),192 (5)
1062,4,pork,pos,spicy,neg,False,chicken,13.0,192 (5),320 (0),18 (9),0 (1),402 (10)
1062,5,spicy,neg,spicy,neg,True,chicken,13.0,192 (5),18 (9),58 (6),95 (12),402 (10)
944,1,quick,neg,curry,pos,False,thai,107.0,346 (0),645 (1),481 (2),279 (3),84 (4)
944,2,casual,neg,solid,neg,True,thai,107.0,346 (0),481 (2),84 (4),279 (3),645 (1)
944,3,yummy,neg,chair,neg,True,thai,107.0,346 (0),481 (2),84 (4),279 (3),645 (1)
944,4,reasonable,neg,patty,neg,True,thai,107.0,346 (0),481 (2),84 (4),279 (3),645 (1)
944,5,downtown,neg,expensive,neg,True,thai,107.0,346 (0),481 (2),645 (1),279 (3),134 (15)
4138,1,spicy,pos,soup,neg,False,taco,2.0,16 (0),1 (1),9 (2),2 (3),6 (4)
4138,2,octopus,pos,pizza,neg,False,taco,2.0,102 (14),16 (0),9 (2),101 (21),11 (5)
4138,3,tuna,pos,japanese,neg,False,taco,2.0,102 (14),16 (0),9 (2),50 (7),11 (5)
4138,4,chip,neg,chip,neg,True,taco,2.0,50 (7),9 (2),16 (0),7 (10),11 (5)
4138,5,shrimp,pos,shrimp,pos,True,taco,2.0,16 (0),102 (14),9 (2),112 (24),7 (10)
1957,1,noodle,neg,pork,pos,False,chicken,13.0,50 (0),259 (1),135 (2),164 (3),9 (4)
1957,2,crispy,pos,fast,neg,False,chicken,13.0,259 (1),135 (2),104 (5),207 (14),300 (12)
1957,3,wait,pos,dinner,pos,True,chicken,13.0,135 (2),104 (5),204 (110),259 (1),10 (8)
1957,4,curry,neg,fish,neg,True,chicken,13.0,135 (2),104 (5),207 (14),68 (27),204 (110)
1957,5,pork,pos,spicy,neg,False,chicken,13.0,135 (2),207 (14),68 (27),204 (110),104 (5)
313,1,vegan,neg,bakery,neg,True,crepe,116.0,573 (0),218 (1),944 (2),17 (3),267 (4)
313,2,banana,neg,strawberry,neg,True,crepe,116.0,573 (0),17 (3),267 (4),44 (10),5 (6)
313,3,japanese,neg,sashimi,neg,True,crepe,116.0,267 (4),5 (6),573 (0),44 (10),203 (34)
313,4,cake,neg,chocolate,neg,True,crepe,116.0,573 (0),5 (6),44 (10),17 (3),0 (8)
313,5,juice,pos,bar,neg,False,crepe,116.0,296 (20),0 (8),44 (10),267 (4),5 (6)
2679,1,quick,neg,curry,neg,True,thai,102.0,2 (0),5 (1),0 (2),10 (3),1 (4)
2679,2,yummy,neg,chair,neg,True,thai,102.0,5 (1),0 (2),2 (0),10 (3),1 (4)
2679,3,downtown,neg,expensive,neg,True,thai,102.0,5 (1),0 (2),2 (0),10 (3),1 (4)
2679,4,busy,neg,fry,neg,True,thai,102.0,10 (3),0 (2),5 (1),2 (0),3 (5)
2679,5,reasonable,neg,patty,neg,True,thai,102.0,10 (3),0 (2),5 (1),2 (0),3 (5)
1203,1,quick,pos,curry,pos,True,thai,0.0,207 (0),433 (1),0 (2),805 (3),41 (4)
1203,2,yummy,pos,chair,neg,False,thai,0.0,805 (3),41 (4),433 (1),72 (18),278 (134)
1203,3,wait,pos,dinner,pos,True,thai,0.0,0 (2),805 (3),41 (4),1 (8),14 (7)
1203,4,downtown,pos,expensive,neg,False,thai,0.0,41 (4),129 (11),805 (3),0 (2),207 (0)
1203,5,busy,pos,fry,neg,False,thai,0.0,0 (2),805 (3),1446 (297),41 (4),640 (53)
1349,1,fluffy,neg,bakery,neg,True,cheese,75.0,211 (0),13 (1),48 (2),154 (3),7 (4)
1349,2,cake,neg,chocolate,neg,True,cheese,75.0,211 (0),399 (6),266 (9),48 (2),13 (1)
1349,3,pizza,neg,bread,neg,True,cheese,75.0,211 (0),399 (6),266 (9),13 (1),48 (2)
1349,4,store,neg,ice cream,neg,True,cheese,75.0,399 (6),478 (29),108 (30),48 (2),13 (1)
1349,5,cheesecake,neg,milk tea,neg,True,cheese,75.0,399 (6),478 (29),48 (2),108 (30),13 (1)
6089,1,gelato,neg,sesame,neg,True,ice cream,5.0,0 (0),1 (1),4 (2),12 (3),60 (4)
6089,2,matcha,neg,milk,neg,True,ice cream,5.0,0 (0),1 (1),4 (2),12 (3),60 (4)
6089,3,tea,pos,salad,neg,False,ice cream,5.0,0 (0),1 (1),12 (3),4 (2),60 (4)
6089,4,green tea,neg,green tea,neg,True,ice cream,5.0,0 (0),4 (2),1 (1),12 (3),22 (30)
6089,5,cookie,pos,market,neg,False,ice cream,5.0,0 (0),4 (2),1 (1),57 (16),22 (30)
398,1,tempura,neg,japanese,neg,True,sushi,112.0,58 (0),462 (1),10 (2),35 (3),213 (4)
398,2,pricey,neg,vegan,neg,True,sushi,112.0,823 (18),58 (0),10 (2),490 (5),443 (12)
398,3,expensive,neg,parking,neg,True,sushi,112.0,823 (18),58 (0),10 (2),221 (6),237 (32)
398,4,modern,neg,solid,neg,True,sushi,112.0,823 (18),58 (0),237 (32),10 (2),35 (3)
398,5,salmon,pos,sushi,pos,True,sushi,112.0,823 (18),58 (0),237 (32),10 (2),35 (3)
214,1,squid,neg,meat,neg,True,cocktail,73.0,1181 (0),944 (1),1190 (2),323 (3),38 (4)
214,2,octopus,neg,pizza,neg,True,cocktail,73.0,1181 (0),944 (1),1190 (2),323 (3),816 (11)
214,3,roasted,neg,bread,neg,True,cocktail,73.0,1181 (0),944 (1),323 (3),193 (7),229 (8)
214,4,music,neg,fry,pos,False,cocktail,73.0,1181 (0),944 (1),341 (10),229 (8),193 (7)
214,5,bar,pos,busy,neg,False,cocktail,73.0,1181 (0),944 (1),193 (7),229 (8),341 (10)
589,1,downtown,neg,expensive,neg,True,noodle,215.0,2207 (0),84 (1),403 (2),38 (3),42 (4)
589,2,chicken,pos,friendly,neg,False,beef,215.0,2207 (0),84 (1),403 (2),38 (3),645 (5)
589,3,beef,pos,salad,neg,False,noodle,215.0,38 (3),190 (26),1180 (20),364 (25),295 (72)
589,4,spicy,neg,soup,pos,False,noodle,215.0,190 (26),1180 (20),100 (16),295 (72),216 (13)
589,5,soup,pos,soup,pos,True,noodle,215.0,633 (266),190 (26),216 (13),1180 (20),364 (25)
2620,1,quick,neg,curry,neg,True,thai,21.0,1 (0),147 (1),0 (2),3 (3),25 (4)
2620,2,cheese,pos,beef,neg,False,lamb,21.0,147 (1),0 (2),1 (0),3 (3),9 (5)
2620,3,rib,pos,dessert,pos,True,lamb,21.0,147 (1),3 (3),0 (2),1 (0),25 (4)
2620,4,skewer,neg,chewy,neg,True,lamb,21.0,25 (4),304 (17),16 (22),0 (2),68 (19)
2620,5,coconut,neg,vegan,neg,True,thai,21.0,25 (4),0 (2),3 (3),7 (16),68 (19)
2320,1,quick,neg,curry,neg,True,thai,143.0,1592 (0),827 (1),771 (2),3604 (3),149 (4)
2320,2,yummy,neg,chair,neg,True,thai,143.0,1592 (0),827 (1),771 (2),149 (4),1425 (15)
2320,3,downtown,neg,expensive,neg,True,thai,143.0,1592 (0),827 (1),771 (2),149 (4),1425 (15)
2320,4,busy,pos,fry,neg,False,thai,143.0,827 (1),1592 (0),771 (2),1425 (15),3604 (3)
2320,5,belly,neg,fried,neg,True,pork,143.0,193 (14),857 (21),827 (1),3079 (12),950 (8)
1033,1,fresh,neg,chicken,neg,True,tart,86.0,559 (0),12 (1),401 (2),33 (3),57 (4)
1033,2,cheese,pos,beef,neg,False,tart,86.0,559 (0),12 (1),57 (4),208 (11),571 (6)
1033,3,croissant,neg,cookie,neg,True,tart,86.0,129 (22),154 (9),559 (0),571 (6),33 (3)
1033,4,matcha,pos,milk,neg,False,tart,86.0,129 (22),559 (0),154 (9),33 (3),57 (4)
1033,5,lemon,neg,bakery,neg,True,tart,86.0,33 (3),16 (35),45 (42),6 (14),559 (0)
184,1,modern,neg,solid,neg,True,oyster,22.0,516 (0),202 (1),1133 (2),93 (3),348 (4)
184,2,shrimp,pos,curry,neg,False,oyster,22.0,516 (0),202 (1),1133 (2),93 (3),348 (4)
184,3,sashimi,pos,salmon,pos,True,oyster,22.0,202 (1),179 (17),126 (8),186 (6),53 (5)
184,4,calamari,neg,attentive,neg,True,oyster,22.0,202 (1),226 (29),126 (8),122 (12),186 (6)
184,5,fresh,pos,chicken,neg,False,oyster,22.0,202 (1),226 (29),126 (8),122 (12),186 (6)
358,1,fish,neg,egg,neg,True,salmon,114.0,198 (0),288 (1),20 (2),82 (3),291 (4)
358,2,pricey,neg,vegan,neg,True,salmon,114.0,880 (6),1171 (11),516 (5),198 (0),1201 (9)
358,3,expensive,neg,parking,neg,True,salmon,114.0,880 (6),198 (0),288 (1),1201 (9),516 (5)
358,4,fresh,neg,chicken,neg,True,salmon,114.0,880 (6),516 (5),198 (0),288 (1),375 (10)
358,5,modern,neg,solid,neg,True,salmon,114.0,880 (6),198 (0),544 (34),516 (5),1171 (11)
6681,1,fast,pos,quick,pos,True,pizza,24.0,0 (0),22 (1),1 (2),365 (3),9 (4)
6681,2,italian,neg,pasta,neg,True,pizza,24.0,37 (11),0 (0),4 (5),1 (2),2 (7)
6681,3,calamari,neg,attentive,neg,True,pizza,24.0,37 (11),0 (0),4 (5),1 (2),2 (7)
6681,4,wine,neg,tomato,neg,True,pizza,24.0,37 (11),0 (0),4 (5),1 (2),2 (7)
6681,5,crust,pos,crust,pos,True,pizza,24.0,37 (11),0 (0),4 (5),1 (2),22 (1)
2298,1,downtown,neg,expensive,neg,True,noodle,109.0,355 (0),205 (1),77 (2),84 (3),27 (4)
2298,2,pork,pos,spicy,pos,True,noodle,109.0,252 (6),27 (4),84 (3),77 (2),315 (5)
