user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase
234,1,dystopia,neg,aliens,neg,True,robots
234,2,space,neg,future,neg,True,robots
234,3,arnold schwarzenegger,neg,stupid,neg,True,robots
234,4,harrison ford,neg,thriller,neg,True,robots
234,5,sci-fi,neg,epic,neg,True,robots
2714,1,dark,neg,overrated,neg,True,comic book
2714,2,war,neg,nazis,neg,True,historical
2714,3,crime,neg,steven spielberg,neg,True,conspiracy
2714,4,politics,neg,based on a true story,pos,False,conspiracy
2714,5,japan,neg,anime,neg,True,historical
4686,1,epic,neg,great movie,neg,True,magic
4686,2,dvd,neg,steven spielberg,neg,True,magic
4686,3,predictable,neg,twist ending,neg,True,magic
4686,4,fantasy,neg,animation,neg,True,magic
4686,5,overrated,neg,tom cruise,neg,True,magic
7910,1,holocaust,neg,biography,neg,True,war
7910,2,africa,neg,france,neg,True,war
7910,3,dvd,pos,steven spielberg,neg,False,war
7910,4,world war ii,neg,history,neg,True,war
7910,5,historical,pos,true story,neg,False,war
3440,1,adventure,neg,super-hero,neg,True,space
3440,2,dvd,pos,steven spielberg,neg,False,space
3440,3,aliens,neg,dystopia,neg,True,space
3440,4,satire,neg,hilarious,neg,True,space
3440,5,sci-fi,neg,epic,neg,True,space
6019,1,classic,pos,oscar (best picture),neg,False,dark comedy
6019,2,crime,neg,steven spielberg,neg,True,dark comedy
6019,3,black comedy,neg,new york,neg,True,dark comedy
6019,4,interesting,neg,tom cruise,neg,True,dark comedy
6019,5,satire,neg,hilarious,neg,True,dark comedy
713,1,dvd,pos,steven spielberg,neg,False,fantasy
713,2,overrated,pos,tom cruise,neg,False,fantasy
713,3,based on a book,pos,love,neg,False,fantasy
713,4,boring,pos,boring,pos,True,fantasy
713,5,epic,pos,epic,pos,True,fantasy
7922,1,future,pos,space,neg,False,time travel
7922,2,great soundtrack,pos,space,neg,False,arnold schwarzenegger
7922,3,time travel,pos,robots,neg,False,arnold schwarzenegger
7922,4,violent,pos,violent,pos,True,arnold schwarzenegger
7922,5,action,pos,action,pos,True,arnold schwarzenegger
4887,1,racism,neg,depressing,neg,True,violence
4887,2,intense,neg,crime,pos,False,violence
4887,3,psychology,neg,mental illness,neg,True,violence
4887,4,seen more than once,neg,drama,neg,True,violence
4887,5,mafia,neg,thriller,neg,True,violence
1656,1,holocaust,neg,biography,neg,True,war
1656,2,africa,neg,france,neg,True,war
1656,3,dvd,pos,steven spielberg,neg,False,war
1656,4,world war ii,neg,history,neg,True,war
1656,5,historical,neg,true story,neg,True,war
