user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification
234,1,future,neg,space,neg,True
234,2,future,neg,sci-fi,neg,True
234,3,future,neg,epic,neg,True
234,4,future,neg,action,neg,True
234,5,future,neg,great movie,neg,True
2714,1,superhero,neg,comic book,neg,True
2714,2,aliens,neg,dystopia,neg,True
2714,3,aliens,neg,space,neg,True
2714,4,dark comedy,neg,mafia,neg,True
2714,5,dark comedy,neg,cult film,neg,True
4686,1,fantasy,neg,adventure,neg,True
4686,2,fantasy,neg,fun,pos,False
4686,3,based on a book,pos,love,neg,False
4686,4,sequel,neg,action,neg,True
4686,5,sequel,neg,parody,neg,True
7910,1,world war ii,neg,history,neg,True
7910,2,world war ii,neg,clint eastwood,neg,True
7910,3,world war ii,neg,biography,neg,True
7910,4,world war ii,neg,sean connery,neg,True
7910,5,world war ii,neg,historical,pos,False
3440,1,sci-fi,neg,future,neg,True
3440,2,sci-fi,neg,epic,neg,True
3440,3,sci-fi,neg,action,neg,True
3440,4,sci-fi,neg,steven spielberg,neg,True
3440,5,sci-fi,neg,space,pos,False
6019,1,black comedy,neg,new york,neg,True
6019,2,black comedy,neg,dark comedy,pos,False
6019,3,satire,neg,overrated,neg,True
6019,4,satire,neg,hilarious,neg,True
6019,5,satire,neg,quirky,neg,True
713,1,based on a book,pos,love,neg,False
713,2,adventure,pos,super-hero,neg,False
713,3,magic,pos,fairy tale,neg,False
713,4,epic,pos,epic,pos,True
713,5,overrated,pos,overrated,pos,True
7922,1,brad pitt,neg,jim carrey,neg,True
7922,2,brad pitt,neg,tom cruise,neg,True
7922,3,brad pitt,neg,morgan freeman,neg,True
7922,4,brad pitt,neg,tom hanks,neg,True
7922,5,brad pitt,neg,funny,neg,True
4887,1,mental illness,neg,psychology,neg,True
4887,2,mental illness,neg,nonlinear,pos,False
4887,3,brad pitt,neg,jim carrey,neg,True
4887,4,brad pitt,neg,tom cruise,neg,True
4887,5,brad pitt,neg,morgan freeman,neg,True
1656,1,world war ii,neg,history,neg,True
1656,2,world war ii,neg,clint eastwood,neg,True
1656,3,world war ii,neg,biography,neg,True
1656,4,world war ii,neg,sean connery,neg,True
1656,5,world war ii,neg,historical,neg,True
4786,1,japan,pos,anime,pos,True
4786,2,slow,neg,beautiful,neg,True
4786,3,slow,neg,martin scorsese,neg,True
4786,4,slow,neg,violence,neg,True
4786,5,slow,neg,nazis,neg,True
7305,1,mafia,pos,thriller,neg,False
7305,2,organized crime,pos,violent,pos,True
7305,3,organized crime,pos,violence,pos,True
7305,4,organized crime,pos,overrated,neg,False
7305,5,remake,neg,marvel,neg,True
1609,1,prison,neg,violence,neg,True
1609,2,prison,neg,crime,neg,True
1609,3,prison,neg,mafia,neg,True
1609,4,prison,neg,violent,neg,True
1609,5,prison,neg,organized crime,neg,True
2936,1,crime,pos,steven spielberg,neg,False
2936,2,morgan freeman,neg,brad pitt,neg,True
2936,3,morgan freeman,neg,bruce willis,neg,True
2936,4,morgan freeman,neg,matt damon,neg,True
2936,5,morgan freeman,neg,tom cruise,neg,True
3789,1,superhero,pos,comic book,pos,True
3789,2,twist ending,neg,matt damon,neg,True
3789,3,twist ending,neg,predictable,neg,True
3789,4,twist ending,neg,overrated,pos,False
3789,5,brad pitt,neg,jim carrey,neg,True
172,1,super-hero,pos,adventure,neg,False
172,2,marvel,neg,superhero,pos,False
172,3,comic book,pos,superhero,pos,True
172,4,space,neg,future,neg,True
172,5,fantasy,neg,adventure,neg,True
4315,1,sci-fi,neg,future,neg,True
4315,2,sci-fi,neg,epic,neg,True
4315,3,sci-fi,neg,action,pos,False
4315,4,nazis,neg,war,neg,True
4315,5,nazis,neg,violent,neg,True
4943,1,prison,neg,violence,neg,True
4943,2,prison,neg,crime,neg,True
4943,3,prison,neg,mafia,neg,True
4943,4,prison,neg,violent,neg,True
4943,5,prison,neg,organized crime,neg,True
5002,1,space,neg,future,neg,True
5002,2,space,neg,sci-fi,pos,False
5002,3,harrison ford,neg,thriller,neg,True
5002,4,harrison ford,neg,steven spielberg,neg,True
5002,5,harrison ford,neg,tom hanks,neg,True
1006,1,history,neg,world war ii,neg,True
