user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase,target_item_id,top_0_recommendation,top_1_recommendation,top_2_recommendation,top_3_recommendation,top_4_recommendation
1283,1,beef,pos,soup,pos,True,corn,32.0,39 (0),600 (1),696 (2),2 (3),1 (4)
1283,2,lettuce,neg,pork belly,neg,True,corn,32.0,39 (0),600 (1),696 (2),89 (16),198 (12)
1283,3,deep fried,pos,birthday,neg,False,corn,32.0,39 (0),600 (1),696 (2),89 (16),307 (41)
1283,4,baked,pos,chewy,pos,True,corn,32.0,39 (0),600 (1),696 (2),89 (16),19 (6)
1283,5,tempura,pos,markham,neg,False,corn,32.0,39 (0),600 (1),696 (2),19 (6),89 (16)
132,1,noodle,neg,soup,neg,True,chicken,167.0,156 (0),130 (1),69 (2),575 (3),66 (4)
132,2,crispy,neg,wait,neg,True,chicken,167.0,156 (0),130 (1),69 (2),575 (3),66 (4)
132,3,pork,neg,pork belly,neg,True,chicken,167.0,156 (0),130 (1),69 (2),575 (3),66 (4)
132,4,spicy,neg,mango,neg,True,chicken,167.0,156 (0),130 (1),69 (2),575 (3),66 (4)
132,5,fried,neg,fried chicken,neg,True,chicken,167.0,156 (0),130 (1),69 (2),575 (3),66 (4)
4756,1,beef,neg,soup,neg,True,wait,162.0,14 (0),0 (1),7 (2),1 (3),5 (4)
4756,2,spicy,neg,pork belly,neg,True,wait,162.0,14 (0),0 (1),7 (2),1 (3),5 (4)
4756,3,thai,neg,curry,neg,True,wait,162.0,14 (0),0 (1),7 (2),1 (3),5 (4)
4756,4,friendly,neg,cheese,neg,True,wait,162.0,14 (0),0 (1),7 (2),1 (3),327 (6)
4756,5,busy,neg,lunch,neg,True,wait,162.0,14 (0),0 (1),7 (2),1 (3),5 (4)
1196,1,dessert,neg,salmon,neg,True,bread,172.0,116 (0),577 (1),27 (2),77 (3),285 (4)
1196,2,octopus,pos,bread,pos,True,bread,172.0,116 (0),577 (1),27 (2),77 (3),149 (5)
1196,3,yummy,neg,casual,neg,True,thai,172.0,116 (0),138 (38),577 (1),284 (96),27 (2)
1196,4,coconut,neg,reasonable,neg,True,thai,172.0,116 (0),138 (38),577 (1),284 (96),27 (2)
1196,5,downtown,neg,parking,neg,True,thai,172.0,116 (0),138 (38),577 (1),27 (2),284 (96)
1590,1,quick,neg,fast,neg,True,thai,78.0,0 (0),6 (1),14 (2),66 (3),3 (4)
1590,2,casual,neg,yummy,neg,True,thai,78.0,0 (0),6 (1),14 (2),66 (3),220 (6)
1590,3,busy,neg,lunch,neg,True,thai,78.0,6 (1),0 (0),66 (3),14 (2),220 (6)
1590,4,reasonable,neg,casual,neg,True,thai,78.0,6 (1),0 (0),66 (3),14 (2),220 (6)
1590,5,curry,neg,thai,neg,True,thai,78.0,6 (1),66 (3),14 (2),0 (0),220 (6)
2738,1,quick,pos,fast,neg,False,thai,1.0,183 (0),313 (1),4 (2),2 (3),1 (4)
2738,2,casual,neg,yummy,neg,True,thai,1.0,4 (2),784 (13),2 (3),313 (1),1 (4)
2738,3,busy,pos,lunch,pos,True,thai,1.0,784 (13),4 (2),313 (1),2 (3),1 (4)
2738,4,wait,pos,crispy,pos,True,thai,1.0,784 (13),4 (2),2 (3),9 (28),6 (8)
2738,5,reasonable,neg,casual,neg,True,thai,1.0,784 (13),34 (10),35 (47),33 (18),2 (3)
3797,1,quick,neg,fast,neg,True,thai,412.0,40 (0),65 (1),0 (2),49 (3),20 (4)
3797,2,casual,neg,yummy,neg,True,thai,412.0,40 (0),65 (1),49 (3),0 (2),42 (5)
3797,3,busy,neg,lunch,neg,True,thai,412.0,40 (0),65 (1),49 (3),42 (5),0 (2)
3797,4,reasonable,neg,casual,neg,True,thai,412.0,40 (0),65 (1),49 (3),0 (2),42 (5)
3797,5,curry,neg,thai,neg,True,thai,412.0,40 (0),65 (1),49 (3),42 (5),0 (2)
4766,1,quick,neg,fast,neg,True,thai,77.0,1 (0),0 (1),2 (2),3 (3),6 (4)
4766,2,casual,neg,yummy,neg,True,thai,77.0,1 (0),0 (1),2 (2),3 (3),6 (4)
4766,3,busy,neg,lunch,neg,True,thai,77.0,1 (0),0 (1),2 (2),3 (3),6 (4)
4766,4,reasonable,neg,casual,neg,True,thai,77.0,1 (0),0 (1),2 (2),3 (3),6 (4)
4766,5,curry,neg,thai,neg,True,thai,77.0,1 (0),0 (1),2 (2),3 (3),6 (4)
1547,1,quick,neg,fast,neg,True,ramen,9.0,17 (0),5 (1),33 (2),401 (3),64 (4)
1547,2,salt,neg,quick,neg,True,ramen,9.0,17 (0),5 (1),33 (2),64 (4),152 (6)
1547,3,egg,pos,creamy,neg,False,ramen,9.0,17 (0),5 (1),33 (2),152 (6),64 (4)
1547,4,pork,pos,pork belly,pos,True,ramen,9.0,5 (1),33 (2),17 (0),81 (16),401 (3)
1547,5,noodle,pos,soup,pos,True,ramen,9.0,30 (13),5 (1),17 (0),35 (11),33 (2)
1677,1,quick,pos,fast,pos,True,thai,0.0,225 (0),127 (1),240 (2),52 (3),4 (4)
1677,2,casual,pos,yummy,pos,True,thai,0.0,179 (5),4 (4),225 (0),6 (10),0 (9)
1677,3,busy,pos,lunch,pos,True,thai,0.0,4 (4),179 (5),1393 (13),0 (9),13 (6)
1677,4,reasonable,pos,casual,pos,True,thai,0.0,179 (5),4 (4),0 (9),6 (10),3 (12)
1677,5,curry,pos,thai,pos,True,thai,0.0,179 (5),4 (4),0 (9),6 (10),3 (12)
6416,1,dinner,pos,oyster,neg,False,beer,57.0,0 (0),1 (1),139 (2),4 (3),5 (4)
6416,2,dog,neg,cheap,neg,True,beer,57.0,0 (0),1 (1),4 (3),5 (4),2 (5)
6416,3,bar,pos,cocktail,neg,False,beer,57.0,0 (0),1 (1),4 (3),5 (4),2 (5)
6416,4,fry,pos,burger,neg,False,beer,57.0,1245 (25),0 (0),1 (1),175 (9),4 (3)
6416,5,pub,neg,pub,neg,True,beer,57.0,0 (0),1245 (25),1 (1),175 (9),4 (3)
1873,1,latte,neg,matcha,neg,True,breakfast,168.0,263 (0),80 (1),768 (2),78 (3),234 (4)
1873,2,bacon,neg,brunch,pos,False,breakfast,168.0,263 (0),80 (1),768 (2),78 (3),234 (4)
1873,3,fruit,pos,breakfast,pos,True,breakfast,168.0,263 (0),768 (2),80 (1),78 (3),234 (4)
1873,4,spicy,neg,pork belly,neg,True,wait,168.0,263 (0),80 (1),768 (2),234 (4),52 (10)
1873,5,beef,neg,soup,neg,True,wait,168.0,263 (0),80 (1),768 (2),234 (4),52 (10)
2168,1,quick,pos,fast,pos,True,thai,0.0,23 (0),45 (1),0 (2),2 (3),19 (4)
2168,2,casual,pos,yummy,pos,True,thai,0.0,804 (9),23 (0),0 (2),19 (4),2 (3)
2168,3,busy,pos,lunch,pos,True,thai,0.0,0 (2),88 (27),2 (3),73 (11),41 (45)
2168,4,reasonable,pos,casual,pos,True,thai,0.0,0 (2),73 (11),44 (16),41 (45),88 (27)
2168,5,curry,pos,thai,pos,True,thai,0.0,0 (2),73 (11),88 (27),44 (16),41 (45)
2216,1,quick,neg,fast,neg,True,thai,97.0,982 (0),0 (1),1 (2),1326 (3),3 (4)
2216,2,casual,neg,yummy,neg,True,thai,97.0,982 (0),0 (1),1 (2),1326 (3),3 (4)
2216,3,busy,neg,lunch,neg,True,thai,97.0,982 (0),0 (1),1 (2),1326 (3),3 (4)
2216,4,reasonable,neg,casual,neg,True,thai,97.0,982 (0),0 (1),1 (2),1326 (3),3 (4)
2216,5,curry,neg,thai,neg,True,thai,97.0,982 (0),1 (2),0 (1),1326 (3),177 (10)
5541,1,steamed,pos,soup,neg,False,pork,3.0,0 (0),5 (1),1 (2),2 (3),14 (4)
5541,2,mayo,pos,sesame,neg,False,fry,3.0,0 (0),5 (1),2 (3),1 (2),14 (4)
5541,3,sausage,neg,bacon,neg,True,fry,3.0,0 (0),2 (3),5 (1),1 (2),3 (7)
5541,4,burger,pos,fry,pos,True,fry,3.0,0 (0),2 (3),5 (1),1 (2),3 (7)
5541,5,fried,pos,fried chicken,pos,True,pork,3.0,0 (0),2 (3),14 (4),3 (7),5 (1)
1428,1,quick,neg,fast,neg,True,thai,302.0,44 (0),266 (1),2 (2),21 (3),50 (4)
1428,2,casual,neg,yummy,neg,True,thai,302.0,44 (0),266 (1),2 (2),21 (3),50 (4)
1428,3,busy,neg,lunch,neg,True,thai,302.0,44 (0),266 (1),2 (2),21 (3),50 (4)
1428,4,reasonable,neg,casual,neg,True,thai,302.0,44 (0),266 (1),2 (2),21 (3),50 (4)
1428,5,curry,neg,thai,neg,True,thai,302.0,44 (0),266 (1),2 (2),21 (3),50 (4)
2456,1,tempura,neg,markham,neg,True,sushi,16.0,2 (0),0 (1),1 (2),34 (3),67 (4)
