user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase
234,1,robots,pos,robots,pos,True,robots
234,2,anime,neg,anime,neg,True,anime
234,3,funny,pos,funny,pos,True,funny
234,4,hilarious,pos,hilarious,pos,True,hilarious
234,5,disney,neg,disney,neg,True,disney
2714,1,satire,neg,satire,neg,True,satire
2714,2,conspiracy,pos,conspiracy,pos,True,conspiracy
2714,3,based on a true story,pos,based on a true story,pos,True,based on a true story
2714,4,historical,pos,historical,pos,True,historical
2714,5,drugs,pos,drugs,pos,True,drugs
4686,1,magic,pos,magic,pos,True,magic
4686,2,based on a book,pos,based on a book,pos,True,based on a book
4686,3,james bond,neg,james bond,neg,True,james bond
4686,4,nonlinear,pos,nonlinear,pos,True,nonlinear
4686,5,comic book,neg,comic book,neg,True,comic book
7910,1,war,pos,war,pos,True,war
7910,2,oscar (best picture),pos,oscar (best picture),pos,True,oscar (best picture)
7910,3,action,neg,action,neg,True,action
7910,4,sci-fi,neg,sci-fi,neg,True,sci-fi
7910,5,crime,neg,crime,neg,True,crime
3440,1,space,pos,space,pos,True,space
3440,2,true story,pos,true story,pos,True,true story
3440,3,tom hanks,pos,tom hanks,pos,True,tom hanks
3440,4,sci-fi,neg,sci-fi,neg,True,sci-fi
3440,5,historical,pos,historical,pos,True,historical
6019,1,dark comedy,pos,dark comedy,pos,True,dark comedy
6019,2,sci-fi,neg,sci-fi,neg,True,sci-fi
6019,3,crime,neg,crime,neg,True,crime
6019,4,serial killer,neg,serial killer,neg,True,serial killer
6019,5,quirky,neg,quirky,neg,True,quirky
713,1,fantasy,pos,fantasy,pos,True,fantasy
713,2,dvd,pos,dvd,pos,True,dvd
713,3,magic,pos,magic,pos,True,magic
713,4,overrated,pos,overrated,pos,True,overrated
713,5,based on a book,pos,based on a book,pos,True,based on a book
7922,1,time travel,pos,time travel,pos,True,time travel
7922,2,arnold schwarzenegger,pos,arnold schwarzenegger,pos,True,arnold schwarzenegger
7922,3,sci-fi,pos,sci-fi,pos,True,sci-fi
7922,4,nudity (topless),pos,nudity (topless),pos,True,nudity (topless)
7922,5,serial killer,neg,serial killer,neg,True,serial killer
4887,1,violence,pos,violence,pos,True,violence
4887,2,organized crime,pos,organized crime,pos,True,organized crime
4887,3,classic,neg,classic,neg,True,classic
4887,4,nonlinear,pos,nonlinear,pos,True,nonlinear
4887,5,time travel,neg,time travel,neg,True,time travel
1656,1,war,pos,war,pos,True,war
1656,2,classic,pos,classic,pos,True,classic
1656,3,disturbing,pos,disturbing,pos,True,disturbing
1656,4,based on a book,pos,based on a book,pos,True,based on a book
1656,5,nudity (topless),pos,nudity (topless),pos,True,nudity (topless)
4786,1,anime,pos,anime,pos,True,anime
4786,2,japan,pos,japan,pos,True,japan
4786,3,comic book,pos,comic book,pos,True,comic book
4786,4,dystopia,pos,dystopia,pos,True,dystopia
4786,5,future,pos,future,pos,True,future
7305,1,martin scorsese,pos,martin scorsese,pos,True,martin scorsese
7305,2,mafia,pos,mafia,pos,True,mafia
7305,3,organized crime,pos,organized crime,pos,True,organized crime
7305,4,prison,neg,prison,neg,True,prison
7305,5,fantasy,neg,fantasy,neg,True,fantasy
1609,1,classic,pos,classic,pos,True,classic
1609,2,oscar (best picture),pos,oscar (best picture),pos,True,oscar (best picture)
1609,3,world war ii,pos,world war ii,pos,True,world war ii
1609,4,film noir,pos,film noir,pos,True,film noir
1609,5,war,pos,war,pos,True,war
2936,1,serial killer,pos,serial killer,pos,True,serial killer
2936,2,crime,pos,crime,pos,True,crime
2936,3,cannibalism,pos,cannibalism,pos,True,cannibalism
2936,4,oscar (best picture),pos,oscar (best picture),pos,True,oscar (best picture)
2936,5,drugs,neg,drugs,neg,True,drugs
3789,1,comic book,pos,comic book,pos,True,comic book
3789,2,bruce willis,pos,bruce willis,pos,True,bruce willis
3789,3,dark,pos,dark,pos,True,dark
3789,4,black comedy,pos,black comedy,pos,True,black comedy
3789,5,animation,neg,animation,neg,True,animation
172,1,superhero,pos,superhero,pos,True,superhero
172,2,super-hero,pos,super-hero,pos,True,super-hero
172,3,comic book,pos,comic book,pos,True,comic book
172,4,action,pos,action,pos,True,action
172,5,dvd,pos,dvd,pos,True,dvd
4315,1,action,pos,action,pos,True,action
4315,2,harrison ford,pos,harrison ford,pos,True,harrison ford
4315,3,sci-fi,neg,sci-fi,neg,True,sci-fi
4315,4,tom hanks,neg,tom hanks,neg,True,tom hanks
4315,5,classic,neg,classic,neg,True,classic
4943,1,classic,pos,classic,pos,True,classic
4943,2,sci-fi,neg,sci-fi,neg,True,sci-fi
4943,3,oscar (best picture),neg,oscar (best picture),neg,True,oscar (best picture)
4943,4,harrison ford,neg,harrison ford,neg,True,harrison ford
4943,5,tom hanks,neg,tom hanks,neg,True,tom hanks
5002,1,sci-fi,pos,sci-fi,pos,True,sci-fi
5002,2,dystopia,pos,dystopia,pos,True,dystopia
5002,3,martial arts,pos,martial arts,pos,True,martial arts
5002,4,dvd,pos,dvd,pos,True,dvd
5002,5,comic book,neg,comic book,neg,True,comic book
1006,1,music,pos,music,pos,True,music
1006,2,biography,pos,biography,pos,True,biography
1006,3,overrated,pos,overrated,pos,True,overrated
1006,4,drugs,pos,drugs,pos,True,drugs
1006,5,true story,pos,true story,pos,True,true story
6346,1,steven spielberg,pos,steven spielberg,pos,True,steven spielberg
6346,2,nazis,pos,nazis,pos,True,nazis
6346,3,classic,neg,classic,neg,True,classic
6346,4,harrison ford,pos,harrison ford,pos,True,harrison ford
6346,5,tom hanks,neg,tom hanks,neg,True,tom hanks
2571,1,classic,pos,classic,pos,True,classic
2571,2,comedy,pos,comedy,pos,True,comedy
2571,3,nonlinear,neg,nonlinear,neg,True,nonlinear
2571,4,holocaust,neg,holocaust,neg,True,holocaust
2571,5,romance,pos,romance,pos,True,romance
1474,1,alfred hitchcock,pos,alfred hitchcock,pos,True,alfred hitchcock
1474,2,classic,pos,classic,pos,True,classic
1474,3,psychology,pos,psychology,pos,True,psychology
1474,4,serial killer,pos,serial killer,pos,True,serial killer
1474,5,murder,pos,murder,pos,True,murder
4413,1,religion,pos,religion,pos,True,religion
4413,2,hilarious,pos,hilarious,pos,True,hilarious
4413,3,nonlinear,neg,nonlinear,neg,True,nonlinear
4413,4,fantasy,neg,fantasy,neg,True,fantasy
4413,5,twist ending,neg,twist ending,neg,True,twist ending
1402,1,cult film,pos,cult film,pos,True,cult film
1402,2,quirky,pos,quirky,pos,True,quirky
1402,3,sci-fi,neg,sci-fi,neg,True,sci-fi
1402,4,hilarious,pos,hilarious,pos,True,hilarious
1402,5,satire,pos,satire,pos,True,satire
7935,1,comic book,pos,comic book,pos,True,comic book
7935,2,super-hero,pos,super-hero,pos,True,super-hero
7935,3,magic,neg,magic,neg,True,magic
7935,4,superhero,pos,superhero,pos,True,superhero
7935,5,action,pos,action,pos,True,action
5587,1,fantasy,pos,fantasy,pos,True,fantasy
5587,2,based on a book,pos,based on a book,pos,True,based on a book
5587,3,magic,pos,magic,pos,True,magic
5587,4,dvd,pos,dvd,pos,True,dvd
5587,5,sequel,pos,sequel,pos,True,sequel
7710,1,organized crime,pos,organized crime,pos,True,organized crime
7710,2,violence,pos,violence,pos,True,violence
7710,3,sci-fi,neg,sci-fi,neg,True,sci-fi
7710,4,time travel,neg,time travel,neg,True,time travel
7710,5,classic,neg,classic,neg,True,classic
2746,1,paris,pos,paris,pos,True,paris
2746,2,animation,pos,animation,pos,True,animation
2746,3,funny,pos,funny,pos,True,funny
2746,4,fantasy,neg,fantasy,neg,True,fantasy
2746,5,france,pos,france,pos,True,france
1482,1,drama,pos,drama,pos,True,drama
1482,2,ghosts,pos,ghosts,pos,True,ghosts
1482,3,prison,neg,prison,neg,True,prison
1482,4,chick flick,pos,chick flick,pos,True,chick flick
1482,5,girlie movie,pos,girlie movie,pos,True,girlie movie
2892,1,japan,pos,japan,pos,True,japan
2892,2,anime,neg,anime,neg,True,anime
2892,3,fantasy,neg,fantasy,neg,True,fantasy
2892,4,tom cruise,pos,tom cruise,pos,True,tom cruise
2892,5,historical,pos,historical,pos,True,historical
4019,1,classic,pos,classic,pos,True,classic
4019,2,dark comedy,pos,dark comedy,pos,True,dark comedy
4019,3,satire,pos,satire,pos,True,satire
4019,4,black comedy,pos,black comedy,pos,True,black comedy
4019,5,politics,pos,politics,pos,True,politics
2928,1,space,pos,space,pos,True,space
2928,2,aliens,pos,aliens,pos,True,aliens
2928,3,dvd,pos,dvd,pos,True,dvd
2928,4,tom hanks,neg,tom hanks,neg,True,tom hanks
2928,5,action,neg,action,neg,True,action
199,1,drugs,pos,drugs,pos,True,drugs
199,2,depressing,pos,depressing,pos,True,depressing
199,3,dark,pos,dark,pos,True,dark
199,4,revenge,pos,revenge,pos,True,revenge
199,5,based on a book,pos,based on a book,pos,True,based on a book
2804,1,violence,pos,violence,pos,True,violence
2804,2,organized crime,pos,organized crime,pos,True,organized crime
2804,3,nonlinear,pos,nonlinear,pos,True,nonlinear
2804,4,time travel,neg,time travel,neg,True,time travel
2804,5,oscar (best picture),neg,oscar (best picture),neg,True,oscar (best picture)
5624,1,fantasy,pos,fantasy,pos,True,fantasy
5624,2,oscar (best picture),pos,oscar (best picture),pos,True,oscar (best picture)
5624,3,based on a book,pos,based on a book,pos,True,based on a book
5624,4,surreal,neg,surreal,neg,True,surreal
5624,5,nonlinear,neg,nonlinear,neg,True,nonlinear
6398,1,sci-fi,neg,sci-fi,neg,True,sci-fi
6398,2,seen more than once,pos,seen more than once,pos,True,seen more than once
6398,3,space,neg,space,neg,True,space
6398,4,animation,neg,animation,neg,True,animation
6398,5,crime,neg,crime,neg,True,crime
6780,1,space,pos,space,pos,True,space
6780,2,aliens,pos,aliens,pos,True,aliens
6780,3,dvd,pos,dvd,pos,True,dvd
6780,4,classic,pos,classic,pos,True,classic
