act,hidden_dim,sparse_normalization,dropout_ratio,pos_uk_num,neg_uk_num,pos_kk_num,neg_kk_num,kernel_method,temperature_tau_u,temperature_tau_k,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,use_default_hp,hp_contrastive_u,weighted_recon,NDCG,RMSE,best_epoch
tanh,50,False,0.4,20,2,2,100,BK,1,1,1e-05,1e-05,800,800,True,5000,50,0.1,0,False,0.01,0.5,"[0.0402, 0.0013]","[0.383, 0]",240.0
tanh,50,False,0.4,20,2,2,100,BK,1,1,1e-05,1e-05,800,800,True,5000,50,0.1,0,False,0.001,0.5,"[0.0492, 0.0018]","[0.3396, 0]",220.0
tanh,50,False,0.4,20,2,2,100,BK,1,1,1e-05,1e-05,800,800,True,5000,50,0.1,0,False,1.0,0.5,"[0.0503, 0.0018]","[0.3167, 0]",230.0
tanh,50,False,0.4,20,2,2,100,BK,1,1,1e-05,1e-05,800,800,True,5000,50,0.1,0,False,0.1,0.5,"[0.0515, 0.0018]","[0.3537, 0]",230.0
tanh,100,False,0.4,20,2,2,100,BK,1,1,0.0001,1e-05,800,800,True,5000,50,0.1,0,False,0.001,0.5,"[0.073, 0.0021]","[0.4177, 0]",250.0
tanh,50,False,0.4,20,2,2,100,BK,1,1,1e-05,1e-05,800,800,True,5000,50,0.1,0,False,10.0,0.5,"[0.0604, 0.0019]","[0.3827, 0]",450.0
tanh,50,False,0.4,20,2,2,100,BK,1,1,1e-05,0.0001,800,800,True,5000,50,0.1,0,False,0.01,0.5,"[0.0455, 0.0016]","[0.3751, 0]",230.0
tanh,100,False,0.4,20,2,2,100,BK,1,1,0.0001,0.0001,800,800,True,5000,50,0.1,0,False,1.0,0.5,"[0.0809, 0.0022]","[0.4735, 0]",390.0
tanh,100,False,0.4,20,2,2,100,BK,1,1,0.0001,0.0001,800,800,True,5000,50,0.1,0,False,0.5,0.5,"[0.0825, 0.0022]","[0.4386, 0]",480.0
tanh,50,False,0.4,20,2,2,100,BK,1,1,1e-05,0.0001,800,800,True,5000,50,0.1,0,False,0.1,0.5,"[0.0482, 0.0016]","[0.4021, 0]",270.0
tanh,50,False,0.4,20,2,2,100,BK,1,1,1e-05,0.0001,800,800,True,5000,50,0.1,0,False,0.5,0.5,"[0.0444, 0.0016]","[0.3561, 0]",230.0
tanh,50,False,0.4,20,2,2,100,BK,1,1,1e-05,0.0001,800,800,True,5000,50,0.1,0,False,10.0,0.5,"[0.0757, 0.0022]","[0.5203, 0]",1960.0
tanh,50,False,0.4,20,2,2,100,BK,1,1,1e-05,0.0,800,800,True,5000,50,0.1,0,False,0.01,0.5,"[0.0393, 0.0013]","[0.3763, 0]",230.0
tanh,50,False,0.4,20,2,2,100,BK,1,1,1e-05,0.0,800,800,True,5000,50,0.1,0,False,0.001,0.5,"[0.0475, 0.0016]","[0.375, 0]",240.0
