user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase,target_item_id,top_0_recommendation,top_1_recommendation,top_2_recommendation,top_3_recommendation,top_4_recommendation
234,1,sequel,neg,classic,pos,False,robots,261.0,1347 (0),1422 (1),1868 (2),3261 (3),426 (4)
234,2,arnold schwarzenegger,neg,thriller,neg,True,robots,261.0,3261 (3),1868 (2),1422 (1),1347 (0),2063 (6)
234,3,space,neg,hilarious,pos,False,robots,261.0,1868 (2),3261 (3),1422 (1),1347 (0),2063 (6)
234,4,post apocalyptic,neg,nudity (topless),neg,True,robots,261.0,1868 (2),3261 (3),1422 (1),2063 (6),1591 (9)
234,5,sci-fi,neg,romance,neg,True,robots,261.0,1868 (2),3261 (3),1422 (1),1591 (9),2902 (35)
2714,1,animation,neg,mafia,neg,True,satire,1648.0,2047 (0),1015 (1),889 (2),898 (3),693 (4)
2714,2,space,neg,sequel,neg,True,satire,1648.0,2047 (0),1015 (1),1626 (5),898 (3),3174 (6)
2714,3,religion,neg,murder,neg,True,satire,1648.0,2047 (0),1015 (1),3174 (6),2740 (9),1626 (5)
2714,4,aliens,neg,space,neg,True,satire,1648.0,2047 (0),3174 (6),1015 (1),1626 (5),2740 (9)
2714,5,fairy tale,neg,chick flick,neg,True,satire,1648.0,2047 (0),3174 (6),1626 (5),2740 (9),1015 (1)
4686,1,boring,neg,sequel,neg,True,magic,906.0,1286 (0),2555 (1),1319 (2),1001 (3),1337 (4)
4686,2,dvd,neg,interesting,neg,True,magic,906.0,1286 (0),2555 (1),1319 (2),1337 (4),1379 (7)
4686,3,overrated,neg,dark comedy,neg,True,magic,906.0,2555 (1),1286 (0),1337 (4),1319 (2),1379 (7)
4686,4,epic,neg,boring,neg,True,magic,906.0,2555 (1),1286 (0),1337 (4),1319 (2),1379 (7)
4686,5,based on a book,pos,space,neg,False,magic,906.0,2555 (1),1286 (0),1337 (4),2906 (43),1379 (7)
7910,1,drama,pos,nudity (topless),neg,False,war,13.0,3 (0),26 (1),16 (2),2 (3),0 (4)
7910,2,historical,pos,predictable,neg,False,war,13.0,3 (0),2 (3),0 (4),26 (1),16 (2)
7910,3,dvd,pos,interesting,neg,False,war,13.0,3 (0),2 (3),0 (4),13 (9),26 (1)
7910,4,holocaust,neg,holocaust,neg,True,war,13.0,3 (0),2 (3),0 (4),26 (1),28 (5)
7910,5,classic,neg,classic,neg,True,war,13.0,3 (0),2 (3),446 (45),28 (5),81 (18)
3440,1,future,neg,dystopia,neg,True,space,9.0,280 (0),58 (1),54 (2),57 (3),16 (4)
3440,2,sequel,neg,classic,neg,True,space,9.0,280 (0),54 (2),57 (3),700 (7),16 (4)
3440,3,dvd,pos,interesting,pos,True,space,9.0,568 (8),280 (0),233 (9),700 (7),435 (56)
3440,4,aliens,pos,space,pos,True,space,9.0,112 (125),128 (15),247 (150),288 (168),622 (244)
3440,5,terrorism,neg,murder,neg,True,true story,9.0,128 (15),424 (43),112 (125),247 (150),193 (106)
6019,1,organized crime,neg,space,neg,True,dark comedy,188.0,351 (0),288 (1),215 (2),254 (3),163 (4)
6019,2,samuel l jackson,neg,history,neg,True,dark comedy,188.0,351 (0),254 (3),594 (22),288 (1),215 (2)
6019,3,crime,neg,action,neg,True,dark comedy,188.0,351 (0),510 (6),288 (1),215 (2),254 (3)
6019,4,quirky,neg,quirky,neg,True,dark comedy,188.0,1460 (129),1500 (169),594 (22),1278 (112),862 (53)
6019,5,interesting,neg,seen more than once,neg,True,dark comedy,188.0,1460 (129),1500 (169),1486 (106),1278 (112),594 (22)
713,1,oscar (best picture),neg,teen,neg,True,fantasy,63.0,1839 (0),1621 (1),2392 (2),1712 (3),1504 (4)
713,2,epic,pos,boring,pos,True,fantasy,63.0,1839 (0),2392 (2),1621 (1),1504 (4),1933 (5)
713,3,overrated,pos,dark comedy,neg,False,fantasy,63.0,1065 (8),1839 (0),1621 (1),758 (94),1013 (16)
713,4,magic,pos,classic,neg,False,fantasy,63.0,334 (42),758 (94),1065 (8),63 (29),377 (104)
713,5,based on a book,pos,space,neg,False,fantasy,63.0,334 (42),1065 (8),254 (118),63 (29),758 (94)
7922,1,quirky,neg,space,neg,True,time travel,48.0,469 (0),522 (1),492 (2),820 (3),95 (4)
7922,2,thriller,pos,adventure,neg,False,time travel,48.0,469 (0),522 (1),492 (2),820 (3),771 (8)
7922,3,future,pos,dystopia,neg,False,time travel,48.0,469 (0),95 (4),0 (9),292 (6),522 (1)
7922,4,action,pos,surreal,neg,False,arnold schwarzenegger,48.0,0 (9),17 (29),95 (4),26 (19),27 (20)
7922,5,sci-fi,pos,sci-fi,pos,True,arnold schwarzenegger,48.0,0 (9),27 (20),26 (19),48 (34),16 (31)
4887,1,crime,pos,action,neg,False,violence,91.0,246 (0),234 (1),461 (2),218 (3),388 (4)
4887,2,organized crime,pos,space,neg,False,violence,91.0,246 (0),27 (9),188 (12),218 (3),147 (10)
4887,3,mafia,neg,action,neg,True,violence,91.0,246 (0),27 (9),188 (12),190 (7),80 (18)
4887,4,racism,neg,predictable,neg,True,violence,91.0,246 (0),234 (1),461 (2),190 (7),218 (3)
4887,5,psychology,neg,comedy,neg,True,violence,91.0,246 (0),234 (1),461 (2),190 (7),218 (3)
1656,1,drama,neg,nudity (topless),pos,False,war,127.0,332 (0),527 (1),476 (2),246 (3),156 (4)
1656,2,historical,neg,predictable,neg,True,war,127.0,527 (1),332 (0),770 (6),476 (2),1122 (17)
1656,3,africa,neg,surreal,pos,False,war,127.0,527 (1),332 (0),246 (3),1435 (45),293 (5)
1656,4,oscar (best picture),neg,teen,neg,True,war,127.0,527 (1),332 (0),246 (3),998 (32),293 (5)
1656,5,history,neg,romance,neg,True,war,127.0,527 (1),332 (0),293 (5),998 (32),246 (3)
4786,1,action,pos,surreal,neg,False,anime,614.0,1044 (0),1379 (1),1316 (2),1037 (3),982 (4)
4786,2,fantasy,neg,chick flick,neg,True,anime,614.0,1044 (0),451 (6),1037 (3),982 (4),310 (10)
4786,3,fun,neg,disturbing,neg,True,anime,614.0,1044 (0),451 (6),1037 (3),982 (4),922 (11)
4786,4,adventure,neg,classic,neg,True,anime,614.0,1044 (0),1037 (3),451 (6),982 (4),1379 (1)
4786,5,cute,neg,dark comedy,neg,True,anime,614.0,1044 (0),1037 (3),982 (4),451 (6),1337 (7)
7305,1,classic,neg,romance,neg,True,martin scorsese,97.0,25 (0),327 (1),112 (2),79 (3),128 (4)
7305,2,murder,neg,seen more than once,pos,False,martin scorsese,97.0,25 (0),327 (1),112 (2),128 (4),79 (3)
7305,3,violence,pos,thriller,neg,False,martin scorsese,97.0,25 (0),327 (1),128 (4),112 (2),4 (8)
7305,4,great movie,pos,prison,neg,False,martin scorsese,97.0,25 (0),327 (1),4 (8),193 (18),112 (2)
7305,5,organized crime,pos,organized crime,pos,True,martin scorsese,97.0,25 (0),327 (1),4 (8),193 (18),112 (2)
1609,1,war,pos,fantasy,neg,False,classic,110.0,1731 (0),591 (1),911 (2),2044 (3),864 (4)
1609,2,organized crime,neg,space,neg,True,classic,110.0,332 (264),13 (52),272 (85),258 (37),5 (98)
1609,3,based on a book,neg,based on a book,neg,True,classic,110.0,332 (264),258 (37),13 (52),272 (85),204 (39)
1609,4,mafia,neg,action,neg,True,classic,110.0,332 (264),258 (37),540 (406),272 (85),13 (52)
1609,5,oscar (best picture),pos,teen,neg,False,classic,110.0,332 (264),540 (406),421 (413),258 (37),272 (85)
2936,1,murder,neg,seen more than once,neg,True,serial killer,2.0,1445 (0),1176 (1),1795 (2),1970 (3),996 (4)
2936,2,psychology,neg,comedy,neg,True,serial killer,2.0,1445 (0),1176 (1),3058 (8),1795 (2),996 (4)
2936,3,brad pitt,neg,oscar (best actor),pos,False,serial killer,2.0,1445 (0),1176 (1),3058 (8),996 (4),1542 (5)
2936,4,cannibalism,pos,adventure,neg,False,serial killer,2.0,1445 (0),1176 (1),3058 (8),1461 (14),1542 (5)
2936,5,crime,pos,action,neg,False,serial killer,2.0,1384 (9),1563 (21),2205 (31),1542 (5),1176 (1)
3789,1,film noir,pos,oscar (best actor),neg,False,comic book,403.0,561 (0),573 (1),141 (2),10 (3),21 (4)
3789,2,revenge,neg,dvd,pos,False,comic book,403.0,392 (36),239 (13),184 (61),64 (6),70 (22)
3789,3,terrorism,neg,murder,pos,False,comic book,403.0,239 (13),184 (61),392 (36),70 (22),64 (6)
3789,4,dark,pos,dark,pos,True,comic book,403.0,239 (13),184 (61),392 (36),305 (90),105 (8)
3789,5,dystopia,neg,dystopia,neg,True,comic book,403.0,239 (13),184 (61),392 (36),305 (90),70 (22)
172,1,sci-fi,neg,romance,neg,True,superhero,558.0,1415 (0),1128 (1),2712 (2),2230 (3),1805 (4)
172,2,action,pos,surreal,neg,False,superhero,558.0,2712 (2),1415 (0),2230 (3),1805 (4),3027 (7)
172,3,dvd,pos,interesting,neg,False,sci-fi,558.0,577 (6),742 (14),558 (5),437 (8),776 (26)
