act,hidden_dim,sparse_normalization,dropout_ratio,pos_uk_num,neg_uk_num,pos_kk_num,neg_kk_num,kernel_method,temperature_tau_u,temperature_tau_k,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,use_default_hp,hp_contrastive_u,weighted_recon,NDCG,RMSE,best_epoch
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0,800,800,True,5000,100,0.001,0,False,0.5,1,"[0.2749, 0.0022]","[0.3016, 0]",170.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0,800,800,True,5000,100,0.001,0,False,0.01,1,"[0.2669, 0.0023]","[0.3026, 0]",110.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0,800,800,True,5000,100,0.001,0,False,0.001,1,"[0.2616, 0.0023]","[0.2836, 0]",110.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0,800,800,True,5000,100,0.001,0,False,10.0,1,"[0.2781, 0.0021]","[0.3317, 0]",160.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0,800,800,True,5000,100,0.001,0,False,1.0,1,"[0.2451, 0.0021]","[0.3378, 0]",60.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0,800,800,True,5000,100,0.001,0,False,0.1,1,"[0.2784, 0.0023]","[0.296, 0]",160.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.001,0,False,0.5,1,"[0.2837, 0.002]","[0.3439, 0]",80.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.001,0,False,1.0,1,"[0.2609, 0.0021]","[0.2789, 0]",50.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,1e-05,800,800,True,5000,100,0.001,0,False,0.001,1,"[0.2652, 0.0022]","[0.3169, 0]",110.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,1e-05,800,800,True,5000,100,0.001,0,False,10.0,1,"[0.2845, 0.0021]","[0.3224, 0]",90.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,1e-05,800,800,True,5000,100,0.001,0,False,1.0,1,"[0.2534, 0.0022]","[0.3025, 0]",180.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.001,1e-05,800,800,True,5000,100,0.001,0,False,0.1,1,"[0.2712, 0.0023]","[0.2954, 0]",130.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.0001,1e-05,800,800,True,5000,100,0.001,0,False,0.5,1,"[0.261, 0.0022]","[0.3183, 0]",170.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0,800,800,True,5000,100,0.001,0,False,0.01,1,"[0.0086, 0.0003]","[1.6181, 0]",100.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0,800,800,True,5000,100,0.001,0,False,0.001,1,"[0.0845, 0.0011]","[0.3617, 0]",80.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0,800,800,True,5000,100,0.001,0,False,10.0,1,"[0.0073, 0.0002]","[1258.2362, 0]",100.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.0001,1e-05,800,800,True,5000,100,0.001,0,False,0.01,1,"[0.2616, 0.0022]","[0.3148, 0]",150.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0,800,800,True,5000,100,0.001,0,False,0.1,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.001,0,False,0.5,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.001,0,False,0.01,1,"[0.0032, 0.0001]","[264.2796, 0]",60.0
tanh,100,False,0.2,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.001,0,False,0.001,1,"[0.0173, 0.0004]","[94.872, 0]",180.0
