user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase,target_item_id,top_0_recommendation,top_1_recommendation,top_2_recommendation,top_3_recommendation,top_4_recommendation
234,1,sequel,neg,space,neg,True,robots,261.0,1347 (0),1422 (1),1868 (2),3261 (3),426 (4)
234,2,arnold schwarzenegger,neg,thriller,neg,True,robots,261.0,1422 (1),1868 (2),1347 (0),3261 (3),2063 (6)
234,3,time travel,neg,fantasy,neg,True,robots,261.0,1868 (2),1422 (1),1347 (0),3261 (3),2063 (6)
234,4,dystopia,neg,sports,neg,True,robots,261.0,1868 (2),1422 (1),2063 (6),3261 (3),1347 (0)
234,5,sci-fi,neg,james bond,neg,True,robots,261.0,3261 (3),1868 (2),1422 (1),2902 (35),2063 (6)
2714,1,animation,neg,intense,neg,True,satire,1648.0,2047 (0),1015 (1),889 (2),898 (3),693 (4)
2714,2,space,neg,organized crime,neg,True,satire,1648.0,2047 (0),1015 (1),3174 (6),2740 (9),1626 (5)
2714,3,religion,neg,murder,neg,True,satire,1648.0,2047 (0),1626 (5),3174 (6),2740 (9),898 (3)
2714,4,aliens,neg,space,neg,True,satire,1648.0,2047 (0),1626 (5),2740 (9),3174 (6),1779 (15)
2714,5,beautiful,neg,music,neg,True,conspiracy,1648.0,2047 (0),1626 (5),3174 (6),1779 (15),2740 (9)
4686,1,boring,neg,sequel,neg,True,magic,906.0,1286 (0),2555 (1),1319 (2),1001 (3),1337 (4)
4686,2,dvd,neg,revenge,neg,True,magic,906.0,1286 (0),2555 (1),1319 (2),1337 (4),1379 (7)
4686,3,overrated,neg,dark comedy,neg,True,magic,906.0,2555 (1),1286 (0),1505 (5),1319 (2),1001 (3)
4686,4,epic,neg,boring,neg,True,magic,906.0,2555 (1),1286 (0),1505 (5),1319 (2),1001 (3)
4686,5,based on a book,pos,space,neg,False,magic,906.0,2555 (1),1286 (0),1505 (5),1319 (2),1379 (7)
7910,1,drama,pos,nudity (topless),neg,False,war,13.0,3 (0),26 (1),16 (2),2 (3),0 (4)
7910,2,historical,pos,predictable,neg,False,war,13.0,3 (0),2 (3),0 (4),26 (1),16 (2)
7910,3,dvd,pos,interesting,neg,False,war,13.0,3 (0),2 (3),0 (4),13 (9),26 (1)
7910,4,holocaust,neg,holocaust,neg,True,war,13.0,3 (0),2 (3),0 (4),26 (1),28 (5)
7910,5,classic,neg,classic,neg,True,war,13.0,3 (0),2 (3),446 (45),28 (5),81 (18)
3440,1,future,neg,dystopia,neg,True,space,9.0,280 (0),58 (1),54 (2),57 (3),16 (4)
3440,2,sequel,neg,post-apocalyptic,neg,True,space,9.0,280 (0),54 (2),57 (3),700 (7),16 (4)
3440,3,dvd,pos,interesting,pos,True,space,9.0,54 (2),57 (3),330 (31),52 (6),280 (0)
3440,4,aliens,pos,space,pos,True,space,9.0,128 (15),9 (23),22 (5),122 (33),193 (106)
3440,5,terrorism,neg,murder,neg,True,true story,9.0,128 (15),9 (23),22 (5),122 (33),178 (62)
6019,1,organized crime,neg,space,neg,True,dark comedy,188.0,351 (0),288 (1),215 (2),254 (3),163 (4)
6019,2,samuel l jackson,neg,history,neg,True,dark comedy,188.0,351 (0),254 (3),594 (22),288 (1),215 (2)
6019,3,crime,neg,action,neg,True,dark comedy,188.0,351 (0),510 (6),288 (1),215 (2),254 (3)
6019,4,quirky,neg,quirky,neg,True,dark comedy,188.0,1460 (129),1500 (169),594 (22),1278 (112),862 (53)
6019,5,interesting,neg,black and white,neg,True,dark comedy,188.0,1460 (129),1500 (169),1486 (106),1278 (112),594 (22)
713,1,oscar (best picture),neg,teen,neg,True,fantasy,63.0,1839 (0),1621 (1),2392 (2),1712 (3),1504 (4)
713,2,epic,pos,boring,pos,True,fantasy,63.0,1839 (0),2392 (2),1621 (1),1504 (4),1933 (5)
713,3,overrated,pos,dark comedy,neg,False,fantasy,63.0,1065 (8),1839 (0),1621 (1),758 (94),1013 (16)
713,4,magic,pos,classic,neg,False,fantasy,63.0,334 (42),758 (94),1065 (8),63 (29),377 (104)
713,5,based on a book,pos,space,neg,False,fantasy,63.0,334 (42),1065 (8),254 (118),63 (29),758 (94)
7922,1,quirky,neg,space,neg,True,time travel,48.0,469 (0),522 (1),492 (2),820 (3),95 (4)
7922,2,thriller,pos,johnny depp,neg,False,time travel,48.0,469 (0),522 (1),492 (2),820 (3),771 (8)
7922,3,future,pos,dystopia,neg,False,time travel,48.0,469 (0),95 (4),0 (9),292 (6),522 (1)
7922,4,action,pos,mafia,neg,False,arnold schwarzenegger,48.0,0 (9),17 (29),95 (4),26 (19),27 (20)
7922,5,sci-fi,pos,sci-fi,pos,True,arnold schwarzenegger,48.0,0 (9),27 (20),26 (19),48 (34),16 (31)
4887,1,crime,pos,action,neg,False,violence,91.0,246 (0),234 (1),461 (2),218 (3),388 (4)
4887,2,organized crime,pos,space,neg,False,violence,91.0,246 (0),27 (9),188 (12),218 (3),147 (10)
4887,3,mafia,neg,depressing,neg,True,violence,91.0,246 (0),27 (9),188 (12),190 (7),80 (18)
4887,4,racism,neg,predictable,neg,True,violence,91.0,246 (0),27 (9),188 (12),155 (5),147 (10)
4887,5,psychology,neg,comedy,neg,True,violence,91.0,246 (0),27 (9),155 (5),188 (12),147 (10)
1656,1,drama,neg,nudity (topless),pos,False,war,127.0,332 (0),527 (1),476 (2),246 (3),156 (4)
1656,2,historical,neg,predictable,neg,True,war,127.0,527 (1),332 (0),770 (6),476 (2),1122 (17)
1656,3,africa,neg,surreal,pos,False,war,127.0,527 (1),332 (0),246 (3),1435 (45),293 (5)
1656,4,oscar (best picture),neg,teen,neg,True,war,127.0,527 (1),332 (0),246 (3),998 (32),293 (5)
1656,5,history,neg,nudity (topless),pos,False,war,127.0,527 (1),332 (0),293 (5),998 (32),246 (3)
