user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase
234,1,dystopia,neg,animation,pos,False,robots
234,2,space,neg,nicolas cage,neg,True,robots
234,3,future,neg,sequel,neg,True,robots
234,4,time travel,neg,nudity (topless),neg,True,robots
234,5,sci-fi,neg,racism,neg,True,robots
2714,1,dark,neg,ghosts,neg,True,comic book
2714,2,heist,neg,psychology,neg,True,based on a true story
2714,3,england,neg,twist ending,neg,True,based on a true story
2714,4,parody,neg,samuel l jackson,neg,True,satire
2714,5,dark comedy,neg,revenge,neg,True,satire
4686,1,epic,neg,hilarious,neg,True,magic
4686,2,dvd,neg,quirky,neg,True,magic
4686,3,predictable,neg,nonlinear,pos,False,magic
4686,4,fantasy,neg,disney,neg,True,magic
4686,5,adventure,neg,samuel l jackson,neg,True,magic
7910,1,holocaust,neg,thriller,neg,True,war
7910,2,africa,neg,future,neg,True,war
7910,3,dvd,pos,post apocalyptic,neg,False,war
7910,4,world war ii,neg,violence,neg,True,war
7910,5,historical,pos,murder,neg,False,war
3440,1,adventure,neg,religion,neg,True,space
3440,2,dvd,pos,robin williams,neg,False,space
3440,3,aliens,neg,revenge,neg,True,space
3440,4,satire,neg,predictable,neg,True,space
3440,5,sci-fi,neg,sean connery,neg,True,space
6019,1,classic,pos,boring,neg,False,dark comedy
6019,2,crime,neg,intense,neg,True,dark comedy
6019,3,black comedy,neg,interesting,neg,True,dark comedy
6019,4,cult film,pos,terrorism,neg,False,dark comedy
6019,5,samuel l jackson,neg,terrorism,neg,True,dark comedy
713,1,dvd,pos,beautiful,neg,False,fantasy
713,2,overrated,pos,shakespeare,neg,False,fantasy
713,3,based on a book,pos,cult film,neg,False,fantasy
713,4,boring,pos,boring,pos,True,fantasy
713,5,epic,pos,epic,pos,True,fantasy
7922,1,future,pos,harrison ford,neg,False,time travel
7922,2,great soundtrack,pos,los angeles,neg,False,arnold schwarzenegger
7922,3,time travel,pos,sean connery,neg,False,arnold schwarzenegger
7922,4,violent,pos,violent,pos,True,arnold schwarzenegger
7922,5,action,pos,action,pos,True,arnold schwarzenegger
4887,1,racism,neg,great soundtrack,neg,True,violence
4887,2,intense,neg,zombies,neg,True,violence
4887,3,mafia,neg,magic,neg,True,violence
4887,4,mental illness,neg,mel gibson,neg,True,violence
4887,5,based on a book,neg,psychology,neg,True,violence
1656,1,holocaust,neg,cars,neg,True,war
1656,2,africa,neg,robin williams,neg,True,war
1656,3,dvd,pos,alfred hitchcock,neg,False,war
1656,4,world war ii,neg,comic book,neg,True,war
1656,5,historical,neg,super-hero,neg,True,war
4786,1,beautiful,neg,organized crime,neg,True,anime
4786,2,fun,neg,sean connery,neg,True,anime
4786,3,animation,pos,nonlinear,neg,False,anime
4786,4,japan,pos,baseball,neg,False,anime
4786,5,future,pos,twist ending,neg,False,anime
7305,1,violence,pos,surreal,neg,False,martin scorsese
7305,2,great movie,pos,gay,neg,False,martin scorsese
7305,3,mafia,pos,vampires,neg,False,martin scorsese
7305,4,violent,pos,violent,pos,True,martin scorsese
7305,5,murder,neg,murder,neg,True,martin scorsese
1609,1,dvd,pos,memory,neg,False,classic
1609,2,based on a book,neg,psychology,neg,True,classic
1609,3,prison,neg,nazis,pos,False,classic
1609,4,organized crime,neg,time travel,neg,True,classic
1609,5,mafia,neg,predictable,neg,True,classic
2936,1,thriller,pos,true story,neg,False,serial killer
2936,2,brad pitt,neg,lesbian,neg,True,serial killer
2936,3,crime,pos,new york city,neg,False,serial killer
2936,4,psychology,neg,japan,neg,True,serial killer
2936,5,cannibalism,pos,sequel,neg,False,serial killer
3789,1,dark,pos,satire,neg,False,comic book
3789,2,action,pos,fairy tale,neg,False,comic book
3789,3,superhero,pos,new york,neg,False,comic book
3789,4,terrorism,neg,terrorism,neg,True,comic book
3789,5,revenge,neg,revenge,neg,True,comic book
172,1,sequel,neg,crime,neg,True,superhero
172,2,dark,neg,funny,neg,True,superhero
172,3,dvd,pos,religion,neg,False,superhero
172,4,super-hero,pos,nicolas cage,neg,False,superhero
172,5,seen more than once,neg,vampires,neg,True,superhero
4315,1,superhero,neg,disney,neg,True,action
4315,2,adventure,neg,nudity (topless),neg,True,harrison ford
4315,3,adventure,neg,nudity (topless - brief),neg,True,action
4315,4,aliens,neg,thriller,neg,True,action
4315,5,super-hero,neg,cute,neg,True,action
4943,1,dvd,neg,surreal,neg,True,classic
4943,2,based on a book,neg,espionage,neg,True,classic
4943,3,stephen king,neg,conspiracy,neg,True,tom hanks
4943,4,funny,neg,oscar (best actor),neg,True,tom hanks
4943,5,oscar (best picture),neg,martin scorsese,neg,True,classic
5002,1,dvd,pos,new york,neg,False,sci-fi
5002,2,sequel,neg,arnold schwarzenegger,neg,True,sci-fi
5002,3,space,neg,teen,neg,True,sci-fi
5002,4,future,neg,adventure,neg,True,sci-fi
5002,5,harrison ford,neg,cars,neg,True,sci-fi
1006,1,black and white,neg,nudity (topless - brief),neg,True,music
1006,2,drama,neg,sean connery,neg,True,music
1006,3,paris,neg,comic book,neg,True,music
1006,4,history,neg,teen,neg,True,biography
1006,5,mel gibson,neg,religion,neg,True,biography
6346,1,great soundtrack,neg,stupid,neg,True,harrison ford
6346,2,adventure,pos,scary,neg,False,harrison ford
6346,3,steven spielberg,pos,jude law,neg,False,nazis
6346,4,classic,neg,scary,neg,True,nazis
6346,5,world war ii,neg,intense,neg,True,nazis
2571,1,dvd,neg,documentary,neg,True,classic
2571,2,based on a book,neg,comedy,pos,False,classic
2571,3,mafia,neg,anime,neg,True,classic
2571,4,stephen king,neg,prison,neg,True,classic
2571,5,oscar (best picture),neg,super-hero,neg,True,classic
1474,1,thriller,neg,baseball,neg,True,alfred hitchcock
1474,2,psychology,pos,satire,neg,False,alfred hitchcock
1474,3,murder,pos,marvel,neg,False,alfred hitchcock
1474,4,horror,neg,dvd,neg,True,alfred hitchcock
1474,5,classic,pos,robin williams,neg,False,alfred hitchcock
4413,1,matt damon,neg,suicide,neg,True,religion
4413,2,comedy,pos,johnny depp,neg,False,religion
4413,3,satire,neg,teen,neg,True,religion
4413,4,parody,pos,drama,neg,False,religion
4413,5,funny,pos,chick flick,neg,False,religion
1402,1,mystery,neg,martial arts,neg,True,cult film
1402,2,samuel l jackson,neg,sci-fi,neg,True,cult film
1402,3,dark comedy,neg,marvel,neg,True,cult film
1402,4,surreal,neg,harrison ford,neg,True,quirky
1402,5,memory,neg,organized crime,neg,True,quirky
7935,1,dark,neg,psychology,neg,True,comic book
7935,2,action,pos,hitchcock,neg,False,comic book
7935,3,marvel,neg,cult film,neg,True,comic book
7935,4,politics,neg,mel gibson,neg,True,comic book
7935,5,superhero,pos,thriller,neg,False,comic book
5587,1,dvd,pos,interesting,neg,False,fantasy
5587,2,overrated,pos,romance,neg,False,fantasy
5587,3,based on a book,pos,black comedy,neg,False,fantasy
5587,4,boring,pos,boring,pos,True,fantasy
5587,5,epic,pos,epic,pos,True,fantasy
7710,1,dvd,pos,cute,neg,False,sci-fi
7710,2,sequel,neg,007,neg,True,sci-fi
7710,3,space,neg,magic,neg,True,sci-fi
7710,4,future,neg,boxing,neg,True,sci-fi
7710,5,harrison ford,neg,brad pitt,neg,True,sci-fi
2746,1,quirky,neg,documentary,neg,True,paris
2746,2,coming of age,neg,vampires,neg,True,paris
2746,3,new york city,neg,funny,pos,False,paris
2746,4,france,pos,martin scorsese,neg,False,paris
2746,5,animation,pos,tom hanks,neg,False,paris
1482,1,overrated,neg,mental illness,neg,True,drama
1482,2,drama,pos,love,neg,False,girlie movie
1482,3,twist ending,neg,based on a book,neg,True,ghosts
1482,4,interesting,neg,london,neg,True,ghosts
1482,5,psychology,neg,depressing,neg,True,ghosts
2892,1,dvd,neg,war,neg,True,tom cruise
2892,2,martial arts,pos,memory,neg,False,japan
2892,3,drama,neg,suspense,neg,True,japan
2892,4,mystery,neg,adventure,neg,True,tom cruise
2892,5,future,neg,prison,neg,True,japan
4019,1,dvd,pos,bond,neg,False,classic
4019,2,based on a book,neg,predictable,neg,True,classic
4019,3,prison,neg,gay,neg,True,classic
4019,4,seen more than once,neg,memory,neg,True,classic
4019,5,oscar (best picture),neg,scary,neg,True,classic
2928,1,adventure,neg,violent,neg,True,space
2928,2,dvd,pos,love,neg,False,space
2928,3,aliens,pos,serial killer,neg,False,space
2928,4,sequel,neg,beautiful,neg,True,space
2928,5,harrison ford,neg,documentary,neg,True,space
199,1,based on a book,pos,true story,neg,False,drugs
199,2,crime,neg,zombies,neg,True,drugs
199,3,depressing,pos,true story,neg,False,drugs
199,4,intense,neg,nonlinear,neg,True,drugs
199,5,dark,pos,france,neg,False,drugs
2804,1,racism,neg,quirky,pos,False,violence
2804,2,intense,neg,chick flick,neg,True,violence
2804,3,mental illness,neg,boring,neg,True,violence
2804,4,seen more than once,neg,mafia,neg,True,violence
2804,5,brad pitt,neg,fantasy,neg,True,violence
5624,1,dvd,pos,france,neg,False,fantasy
5624,2,overrated,pos,horror,neg,False,fantasy
5624,3,based on a book,pos,quirky,neg,False,fantasy
5624,4,boring,pos,boring,pos,True,fantasy
5624,5,epic,pos,epic,pos,True,fantasy
6398,1,dvd,neg,france,neg,True,sci-fi
6398,2,sequel,neg,high school,neg,True,sci-fi
6398,3,robots,neg,zombies,neg,True,sci-fi
6398,4,space,neg,magic,neg,True,sci-fi
6398,5,comedy,pos,samuel l jackson,neg,False,seen more than once
6780,1,adventure,neg,disney,neg,True,space
6780,2,dvd,pos,sci-fi,pos,True,space
6780,3,sequel,neg,england,neg,True,space
6780,4,robots,neg,nicolas cage,neg,True,space
6780,5,harrison ford,neg,africa,neg,True,space
658,1,seen more than once,neg,girlie movie,neg,True,martial arts
658,2,dystopia,neg,nicolas cage,neg,True,martial arts
658,3,dvd,pos,new york,neg,False,martial arts
658,4,overrated,neg,hitchcock,neg,True,martial arts
658,5,japan,neg,funny,neg,True,martial arts
5595,1,based on a true story,neg,racism,neg,True,england
5595,2,cute,pos,war,neg,False,england
5595,3,mafia,neg,england,pos,False,classic
5595,4,spoof,neg,chick flick,pos,False,england
5595,5,zombies,neg,zombies,neg,True,england
837,1,spoof,neg,johnny depp,neg,True,zombies
837,2,comedy,pos,music,neg,False,zombies
837,3,post-apocalyptic,neg,cars,neg,True,zombies
837,4,violent,neg,surreal,neg,True,zombies
