user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification
234,1,future,neg,violent,neg,True
234,2,future,neg,psychology,neg,True
234,3,future,neg,politics,neg,True
234,4,future,neg,france,neg,True
234,5,future,neg,musical,neg,True
2714,1,superhero,neg,cute,neg,True
2714,2,superhero,neg,robots,neg,True
2714,3,aliens,neg,girlie movie,neg,True
2714,4,true story,neg,holocaust,neg,True
2714,5,true story,neg,comedy,neg,True
4686,1,fantasy,neg,slow,neg,True
4686,2,fantasy,neg,oscar (best actor),neg,True
4686,3,fantasy,neg,cute,neg,True
4686,4,fantasy,neg,hitchcock,neg,True
4686,5,fantasy,neg,violence,neg,True
7910,1,world war ii,neg,high school,neg,True
7910,2,world war ii,neg,shakespeare,neg,True
7910,3,world war ii,neg,los angeles,neg,True
7910,4,world war ii,neg,christmas,neg,True
7910,5,world war ii,neg,disney,neg,True
3440,1,sci-fi,neg,bond,neg,True
3440,2,sci-fi,neg,los angeles,neg,True
3440,3,sci-fi,neg,nudity (topless - brief),neg,True
3440,4,sci-fi,neg,heist,neg,True
3440,5,sci-fi,neg,oscar (best picture),neg,True
6019,1,black comedy,neg,africa,neg,True
6019,2,black comedy,neg,bruce willis,neg,True
6019,3,black comedy,neg,twist ending,neg,True
6019,4,black comedy,neg,ghosts,neg,True
6019,5,black comedy,neg,alfred hitchcock,neg,True
713,1,based on a book,pos,stupid,neg,False
713,2,adventure,pos,shakespeare,neg,False
713,3,magic,pos,dvd,pos,True
713,4,magic,pos,comic book,neg,False
713,5,epic,pos,epic,pos,True
7922,1,brad pitt,neg,seen more than once,neg,True
7922,2,brad pitt,neg,suspense,neg,True
7922,3,brad pitt,neg,british,neg,True
7922,4,brad pitt,neg,high school,neg,True
7922,5,brad pitt,neg,dvd,neg,True
4887,1,mental illness,neg,drugs,neg,True
4887,2,mental illness,neg,suspense,neg,True
4887,3,mental illness,neg,mystery,neg,True
4887,4,mental illness,neg,psychology,neg,True
4887,5,mental illness,neg,nudity (topless),neg,True
1656,1,world war ii,neg,terrorism,neg,True
1656,2,world war ii,neg,space,neg,True
1656,3,world war ii,neg,drama,neg,True
1656,4,world war ii,neg,aliens,neg,True
1656,5,world war ii,neg,high school,neg,True
4786,1,japan,pos,cult film,neg,False
4786,2,children,neg,oscar (best picture),neg,True
4786,3,children,neg,hilarious,neg,True
4786,4,children,neg,fun,neg,True
4786,5,superhero,neg,cult film,neg,True
7305,1,mafia,pos,cult film,neg,False
7305,2,organized crime,pos,nudity (topless - brief),neg,False
7305,3,remake,neg,thriller,neg,True
7305,4,remake,neg,cute,neg,True
7305,5,remake,neg,surreal,neg,True
1609,1,prison,neg,espionage,pos,False
1609,2,oscar (best picture),pos,conspiracy,neg,False
1609,3,mafia,neg,oscar (best actor),neg,True
1609,4,mafia,neg,martin scorsese,neg,True
1609,5,mafia,neg,new york,neg,True
2936,1,crime,pos,arnold schwarzenegger,neg,False
2936,2,morgan freeman,neg,teen,neg,True
2936,3,morgan freeman,neg,adventure,neg,True
2936,4,morgan freeman,neg,cars,neg,True
2936,5,morgan freeman,neg,nudity (topless - brief),neg,True
3789,1,superhero,pos,sean connery,neg,False
3789,2,super-hero,pos,comic book,pos,True
3789,3,twist ending,neg,teen,neg,True
3789,4,twist ending,neg,religion,neg,True
3789,5,twist ending,neg,stupid,neg,True
172,1,super-hero,pos,scary,neg,False
172,2,marvel,neg,jude law,neg,True
172,3,marvel,neg,scary,neg,True
172,4,marvel,neg,intense,neg,True
172,5,marvel,neg,documentary,neg,True
4315,1,sci-fi,neg,comedy,neg,True
4315,2,super-hero,neg,anime,neg,True
4315,3,sci-fi,neg,prison,neg,True
4315,4,sci-fi,neg,super-hero,neg,True
4315,5,sci-fi,neg,baseball,neg,True
4943,1,prison,neg,satire,neg,True
4943,2,prison,neg,marvel,neg,True
4943,3,oscar (best actor),neg,dvd,neg,True
4943,4,oscar (best actor),neg,robin williams,neg,True
4943,5,oscar (best actor),neg,suicide,neg,True
5002,1,space,neg,johnny depp,neg,True
5002,2,space,neg,teen,neg,True
5002,3,space,neg,drama,neg,True
5002,4,space,neg,chick flick,neg,True
5002,5,space,neg,martial arts,pos,False
1006,1,history,neg,martial arts,neg,True
1006,2,true story,pos,marvel,neg,False
1006,3,biography,pos,harrison ford,neg,False
1006,4,oscar (best actor),neg,organized crime,neg,True
1006,5,oscar (best actor),neg,psychology,neg,True
6346,1,sci-fi,neg,hitchcock,neg,True
6346,2,harrison ford,pos,cult film,neg,False
6346,3,holocaust,neg,mel gibson,neg,True
6346,4,world war ii,neg,thriller,neg,True
6346,5,holocaust,neg,interesting,neg,True
2571,1,prison,neg,romance,pos,False
