user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase
234,1,sequel,neg,violence,neg,True,robots
234,2,arnold schwarzenegger,neg,based on a book,neg,True,robots
234,3,space,neg,history,neg,True,robots
234,4,post apocalyptic,neg,chick flick,neg,True,robots
234,5,harrison ford,pos,biography,pos,True,robots
2714,1,animation,neg,prison,neg,True,satire
2714,2,space,neg,boring,neg,True,satire
2714,3,religion,neg,conspiracy,pos,False,satire
2714,4,aliens,neg,historical,pos,False,satire
2714,5,dark comedy,neg,dystopia,neg,True,satire
4686,1,boring,neg,nudity (topless),neg,True,magic
4686,2,adventure,pos,holocaust,pos,True,magic
4686,3,dvd,neg,oscar (best picture),neg,True,magic
4686,4,sequel,pos,music,neg,False,magic
4686,5,overrated,neg,future,neg,True,magic
7910,1,drama,pos,organized crime,neg,False,war
7910,2,historical,neg,johnny depp,pos,False,war
7910,3,dvd,pos,depressing,neg,False,war
7910,4,holocaust,neg,holocaust,neg,True,war
7910,5,classic,neg,classic,neg,True,war
3440,1,future,neg,oscar (best actor),pos,False,space
3440,2,sequel,neg,music,neg,True,space
3440,3,dvd,pos,depressing,neg,False,space
3440,4,aliens,neg,historical,pos,False,space
3440,5,harrison ford,neg,harrison ford,neg,True,space
6019,1,organized crime,neg,drama,neg,True,dark comedy
6019,2,samuel l jackson,neg,fun,neg,True,dark comedy
6019,3,crime,neg,family,neg,True,dark comedy
6019,4,quirky,neg,steven spielberg,pos,False,dark comedy
6019,5,interesting,neg,intense,neg,True,dark comedy
713,1,oscar (best picture),neg,music,pos,False,fantasy
713,2,epic,pos,steven spielberg,pos,True,fantasy
713,3,overrated,pos,nudity (topless - brief),neg,False,fantasy
713,4,magic,pos,war,neg,False,fantasy
713,5,adventure,pos,adventure,pos,True,fantasy
7922,1,quirky,neg,steven spielberg,neg,True,time travel
7922,2,thriller,neg,comic book,neg,True,time travel
7922,3,sci-fi,pos,murder,pos,True,time travel
7922,4,arnold schwarzenegger,pos,based on a book,neg,False,time travel
7922,5,dystopia,neg,oscar (best actor),pos,False,time travel
4887,1,crime,pos,family,neg,False,violence
4887,2,organized crime,pos,drama,neg,False,violence
4887,3,mafia,pos,family,neg,False,violence
4887,4,racism,neg,racism,neg,True,violence
4887,5,seen more than once,neg,seen more than once,neg,True,violence
1656,1,drama,neg,fantasy,neg,True,war
1656,2,historical,pos,slow,neg,False,war
1656,3,holocaust,neg,adventure,neg,True,war
1656,4,africa,neg,scary,neg,True,war
1656,5,world war ii,neg,cute,neg,True,war
4786,1,action,pos,romance,neg,False,anime
4786,2,fantasy,pos,drama,pos,True,anime
4786,3,fun,neg,samuel l jackson,neg,True,anime
4786,4,adventure,neg,holocaust,neg,True,anime
4786,5,cute,neg,super-hero,neg,True,anime
7305,1,classic,neg,action,neg,True,martin scorsese
7305,2,murder,neg,overrated,neg,True,martin scorsese
7305,3,great movie,pos,high school,neg,False,martin scorsese
7305,4,remake,pos,mystery,pos,True,martin scorsese
7305,5,mafia,pos,family,neg,False,martin scorsese
1609,1,war,pos,cult film,neg,False,classic
1609,2,organized crime,neg,drama,pos,False,classic
1609,3,morgan freeman,neg,oscar (best actor),pos,False,classic
1609,4,dvd,pos,dvd,pos,True,classic
1609,5,seen more than once,pos,seen more than once,pos,True,classic
2936,1,murder,neg,overrated,neg,True,serial killer
2936,2,psychology,neg,james bond,pos,False,serial killer
2936,3,thriller,pos,teen,neg,False,serial killer
2936,4,brad pitt,neg,beautiful,neg,True,serial killer
2936,5,morgan freeman,neg,oscar (best actor),pos,False,serial killer
3789,1,film noir,pos,fun,neg,False,comic book
3789,2,revenge,neg,cute,neg,True,comic book
3789,3,action,pos,classic,neg,False,comic book
3789,4,marvel,pos,satire,neg,False,comic book
3789,5,super-hero,pos,super-hero,pos,True,comic book
172,1,sci-fi,neg,murder,neg,True,superhero
172,2,action,neg,classic,neg,True,superhero
172,3,dvd,pos,history,neg,False,superhero
172,4,dark,neg,thriller,neg,True,superhero
172,5,marvel,neg,satire,neg,True,superhero
4315,1,war,neg,cult film,neg,True,action
4315,2,dvd,neg,depressing,neg,True,action
4315,3,harrison ford,neg,biography,neg,True,action
4315,4,space,neg,boring,neg,True,harrison ford
4315,5,violent,neg,girlie movie,neg,True,harrison ford
4943,1,war,pos,cult film,neg,False,classic
4943,2,organized crime,neg,drama,neg,True,classic
4943,3,based on a book,neg,teen,pos,False,classic
4943,4,dvd,neg,depressing,neg,True,classic
4943,5,family,neg,mafia,pos,False,classic
5002,1,aliens,neg,true story,neg,True,sci-fi
5002,2,action,pos,classic,neg,False,sci-fi
5002,3,dvd,pos,oscar (best picture),neg,False,sci-fi
5002,4,sequel,neg,music,neg,True,sci-fi
5002,5,harrison ford,neg,biography,neg,True,sci-fi
1006,1,fantasy,neg,tom hanks,neg,True,music
1006,2,hilarious,neg,great soundtrack,neg,True,music
1006,3,world war ii,neg,cute,neg,True,biography
1006,4,holocaust,neg,adventure,neg,True,biography
1006,5,steven spielberg,neg,girlie movie,neg,True,biography
6346,1,drama,neg,fantasy,neg,True,steven spielberg
6346,2,interesting,neg,intense,neg,True,harrison ford
6346,3,adventure,pos,history,neg,False,harrison ford
6346,4,steven spielberg,pos,girlie movie,neg,False,nazis
6346,5,harrison ford,pos,biography,neg,False,nazis
2571,1,war,neg,france,neg,True,classic
2571,2,organized crime,neg,drama,pos,False,classic
2571,3,dvd,pos,depressing,neg,False,classic
2571,4,based on a book,pos,arnold schwarzenegger,neg,False,classic
2571,5,oscar (best picture),pos,oscar (best picture),pos,True,classic
1474,1,sean connery,pos,conspiracy,pos,True,alfred hitchcock
1474,2,horror,neg,satire,neg,True,alfred hitchcock
1474,3,based on a book,neg,arnold schwarzenegger,neg,True,classic
1474,4,classic,pos,action,neg,False,alfred hitchcock
1474,5,politics,neg,future,neg,True,alfred hitchcock
4413,1,love,neg,underrated,neg,True,religion
4413,2,death,pos,high school,pos,True,religion
4413,3,sad,neg,beautiful,neg,True,religion
4413,4,comedy,neg,bruce willis,pos,False,religion
4413,5,hilarious,pos,drama,neg,False,religion
1402,1,organized crime,neg,drama,neg,True,cult film
1402,2,musical,pos,prison,pos,True,cult film
1402,3,samuel l jackson,neg,fun,neg,True,cult film
1402,4,aliens,neg,true story,neg,True,cult film
1402,5,coming of age,neg,remake,neg,True,quirky
7935,1,film noir,neg,fun,neg,True,comic book
7935,2,revenge,pos,cute,neg,False,comic book
7935,3,dark,pos,thriller,pos,True,comic book
7935,4,action,pos,classic,neg,False,comic book
7935,5,superhero,pos,biography,neg,False,comic book
5587,1,oscar (best picture),neg,dvd,pos,False,fantasy
5587,2,epic,pos,steven spielberg,neg,False,fantasy
5587,3,boring,neg,nudity (topless),pos,False,fantasy
5587,4,dvd,pos,dvd,pos,True,fantasy
5587,5,sequel,pos,sequel,pos,True,fantasy
7710,1,nonlinear,neg,oscar (best actor),neg,True,organized crime
7710,2,violence,pos,sequel,neg,False,organized crime
7710,3,sequel,neg,music,neg,True,sci-fi
7710,4,harrison ford,neg,biography,neg,True,sci-fi
7710,5,surreal,neg,scary,neg,True,sci-fi
2746,1,girlie movie,neg,steven spielberg,neg,True,paris
2746,2,love,neg,underrated,neg,True,paris
2746,3,coming of age,neg,remake,neg,True,paris
2746,4,cute,pos,world war ii,pos,True,paris
2746,5,new york city,neg,ghosts,neg,True,paris
1482,1,morgan freeman,neg,oscar (best actor),neg,True,drama
