user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase,target_item_id,top_0_recommendation,top_1_recommendation,top_2_recommendation,top_3_recommendation,top_4_recommendation
1283,1,beef,pos,salad,neg,False,corn,32.0,600 (0),351 (1),288 (2),290 (3),305 (4)
1283,2,lettuce,neg,tax,neg,True,corn,32.0,600 (0),351 (1),288 (2),89 (8),376 (5)
1283,3,deep fried,pos,booth,neg,False,corn,32.0,600 (0),351 (1),288 (2),89 (8),376 (5)
1283,4,baked,pos,steak,neg,False,corn,32.0,600 (0),351 (1),288 (2),89 (8),376 (5)
1283,5,tempura,pos,tempura,pos,True,corn,32.0,600 (0),351 (1),288 (2),89 (8),376 (5)
132,1,ramen,neg,sashimi,neg,True,indian,167.0,256 (0),266 (1),185 (2),2142 (3),460 (4)
132,2,lamb,neg,sandwich,neg,True,indian,167.0,256 (0),266 (1),2142 (3),185 (2),460 (4)
132,3,meat,pos,lunch,neg,False,indian,167.0,256 (0),266 (1),185 (2),2142 (3),199 (5)
132,4,curry,pos,fish,neg,False,indian,167.0,367 (30),69 (14),1369 (11),158 (45),50 (38)
132,5,buffet,pos,spicy,neg,False,indian,167.0,158 (45),37 (19),367 (30),50 (38),1369 (11)
4756,1,quick,neg,curry,neg,True,thai,162.0,0 (0),1 (1),4 (2),7 (3),10 (4)
4756,2,yummy,neg,chair,neg,True,thai,162.0,0 (0),1 (1),4 (2),7 (3),10 (4)
4756,3,downtown,neg,expensive,neg,True,thai,162.0,0 (0),1 (1),4 (2),7 (3),10 (4)
4756,4,busy,neg,fry,neg,True,thai,162.0,0 (0),1 (1),4 (2),7 (3),10 (4)
4756,5,reasonable,neg,patty,neg,True,thai,162.0,0 (0),1 (1),4 (2),7 (3),10 (4)
1196,1,dessert,neg,noodle,neg,True,bread,172.0,15 (0),27 (1),39 (2),40 (3),363 (4)
1196,2,octopus,neg,pizza,neg,True,bread,172.0,15 (0),27 (1),40 (3),39 (2),77 (5)
1196,3,bakery,pos,store,neg,False,bread,172.0,15 (0),27 (1),40 (3),39 (2),363 (4)
1196,4,wine,neg,tomato,neg,True,bread,172.0,482 (221),27 (1),38 (7),15 (0),149 (27)
1196,5,italian,neg,pasta,neg,True,bread,172.0,482 (221),27 (1),38 (7),149 (27),264 (31)
1590,1,quick,neg,curry,neg,True,thai,78.0,88 (0),0 (1),6 (2),1 (3),41 (4)
1590,2,yummy,neg,chair,neg,True,thai,78.0,88 (0),0 (1),6 (2),1 (3),58 (6)
1590,3,downtown,neg,expensive,neg,True,thai,78.0,88 (0),0 (1),6 (2),1 (3),58 (6)
1590,4,busy,neg,fry,neg,True,thai,78.0,0 (1),88 (0),1 (3),6 (2),35 (9)
1590,5,reasonable,neg,patty,neg,True,thai,78.0,0 (1),88 (0),1 (3),6 (2),41 (4)
2738,1,quick,pos,curry,pos,True,thai,1.0,313 (0),3 (1),1 (2),33 (3),5 (4)
2738,2,yummy,neg,chair,neg,True,thai,1.0,44 (23),1 (2),33 (3),3 (1),2 (6)
2738,3,downtown,neg,expensive,neg,True,thai,1.0,44 (23),1 (2),33 (3),3 (1),2 (6)
2738,4,busy,pos,fry,neg,False,thai,1.0,44 (23),1 (2),33 (3),3 (1),2 (6)
2738,5,reasonable,neg,patty,neg,True,thai,1.0,33 (3),3 (1),44 (23),4 (7),1 (2)
3797,1,kimchi,neg,noodle,neg,True,fried chicken,412.0,355 (0),42 (1),40 (2),15 (3),27 (4)
3797,2,quick,neg,curry,neg,True,thai,412.0,355 (0),40 (2),15 (3),42 (1),27 (4)
3797,3,busy,neg,fry,pos,False,thai,412.0,355 (0),40 (2),15 (3),42 (1),27 (4)
3797,4,casual,neg,solid,neg,True,thai,412.0,15 (3),40 (2),355 (0),42 (1),27 (4)
3797,5,reasonable,neg,patty,neg,True,thai,412.0,15 (3),40 (2),355 (0),42 (1),27 (4)
4766,1,quick,neg,curry,neg,True,thai,77.0,0 (0),3 (1),1 (2),4 (3),2 (4)
4766,2,yummy,neg,chair,neg,True,thai,77.0,0 (0),3 (1),1 (2),4 (3),2 (4)
4766,3,downtown,neg,expensive,neg,True,thai,77.0,0 (0),3 (1),1 (2),4 (3),2 (4)
4766,4,busy,neg,fry,neg,True,thai,77.0,0 (0),3 (1),1 (2),4 (3),9 (5)
4766,5,reasonable,neg,patty,neg,True,thai,77.0,0 (0),3 (1),1 (2),4 (3),9 (5)
1547,1,quick,neg,curry,neg,True,ramen,9.0,17 (0),31 (1),59 (2),172 (3),0 (4)
1547,2,salt,neg,tax,neg,True,ramen,9.0,17 (0),31 (1),59 (2),172 (3),0 (4)
1547,3,egg,pos,dessert,pos,True,ramen,9.0,17 (0),31 (1),59 (2),172 (3),0 (4)
1547,4,pork,pos,spicy,pos,True,ramen,9.0,134 (28),474 (25),172 (3),45 (14),17 (0)
1547,5,belly,pos,fried,pos,True,ramen,9.0,134 (28),279 (41),474 (25),246 (32),59 (2)
1677,1,quick,pos,curry,pos,True,thai,0.0,127 (0),2399 (1),240 (2),13 (3),0 (4)
1677,2,yummy,pos,chair,neg,False,thai,0.0,127 (0),106 (31),194 (10),167 (29),0 (4)
1677,3,wait,pos,dinner,pos,True,thai,0.0,127 (0),0 (4),167 (29),881 (25),177 (12)
1677,4,downtown,pos,expensive,neg,False,thai,0.0,127 (0),91 (33),0 (4),177 (12),167 (29)
1677,5,busy,pos,fry,neg,False,thai,0.0,0 (4),4 (9),127 (0),177 (12),91 (33)
6416,1,dinner,pos,fresh,neg,False,beer,57.0,0 (0),1 (1),4 (2),3 (3),6 (4)
6416,2,dog,neg,cheese,neg,True,beer,57.0,0 (0),1 (1),4 (2),3 (3),7 (6)
6416,3,bar,pos,busy,neg,False,beer,57.0,0 (0),1 (1),4 (2),3 (3),7 (6)
6416,4,duck,pos,fish,neg,False,beer,57.0,0 (0),1 (1),3 (3),4 (2),7 (6)
6416,5,sausage,neg,sausage,neg,True,beer,57.0,0 (0),1 (1),4 (2),3 (3),7 (6)
1873,1,quick,neg,curry,neg,True,thai,168.0,234 (0),176 (1),3 (2),29 (3),239 (4)
1873,2,yummy,neg,chair,neg,True,thai,168.0,234 (0),176 (1),3 (2),29 (3),0 (5)
1873,3,downtown,neg,expensive,neg,True,thai,168.0,234 (0),176 (1),3 (2),29 (3),0 (5)
1873,4,busy,neg,fry,neg,True,thai,168.0,234 (0),176 (1),3 (2),29 (3),239 (4)
1873,5,reasonable,neg,patty,neg,True,thai,168.0,234 (0),3 (2),176 (1),29 (3),239 (4)
2168,1,quick,pos,curry,pos,True,thai,0.0,23 (0),11 (1),63 (2),19 (3),90 (4)
2168,2,yummy,pos,chair,neg,False,thai,0.0,278 (21),19 (3),44 (27),23 (0),548 (13)
2168,3,wait,pos,dinner,pos,True,thai,0.0,0 (5),44 (27),2 (7),6 (9),21 (33)
2168,4,downtown,pos,expensive,neg,False,thai,0.0,0 (5),44 (27),21 (33),63 (2),1672 (249)
2168,5,busy,pos,fry,neg,False,thai,0.0,0 (5),44 (27),63 (2),21 (33),438 (89)
2216,1,quick,neg,curry,neg,True,thai,97.0,1040 (0),0 (1),2159 (2),52 (3),1393 (4)
2216,2,bread,pos,busy,neg,False,octopus,97.0,1040 (0),0 (1),2159 (2),52 (3),1381 (5)
2216,3,spicy,neg,soup,neg,True,thai,97.0,1040 (0),0 (1),2159 (2),48 (6),1152 (15)
2216,4,busy,neg,fry,neg,True,thai,97.0,1040 (0),0 (1),2159 (2),48 (6),52 (3)
2216,5,reasonable,neg,patty,neg,True,thai,97.0,1040 (0),0 (1),2159 (2),48 (6),1152 (15)
5541,1,mayo,pos,plaza,neg,False,fry,3.0,0 (0),994 (1),4 (2),2 (3),6 (4)
5541,2,pork belly,pos,fried,pos,True,fry,3.0,0 (0),2 (3),994 (1),6 (4),4 (2)
5541,3,sausage,neg,bacon,neg,True,fry,3.0,0 (0),994 (1),2 (3),4 (2),6 (4)
5541,4,burger,neg,coffee,neg,True,fry,3.0,0 (0),994 (1),2 (3),4 (2),6 (4)
5541,5,duck,neg,fish,neg,True,fry,3.0,0 (0),994 (1),2 (3),4 (2),6 (4)
1428,1,beef,neg,salad,neg,True,wait,302.0,2 (0),51 (1),101 (2),62 (3),1 (4)
1428,2,quick,neg,curry,neg,True,ramen,302.0,2 (0),101 (2),51 (1),62 (3),1 (4)
1428,3,thai,neg,fast,neg,True,wait,302.0,2 (0),51 (1),101 (2),62 (3),1 (4)
1428,4,spicy,neg,soup,neg,True,wait,302.0,2 (0),51 (1),62 (3),101 (2),1 (4)
1428,5,busy,neg,fry,neg,True,wait,302.0,2 (0),62 (3),51 (1),101 (2),1 (4)
2456,1,tempura,neg,japanese,pos,False,sushi,16.0,2 (0),0 (1),13 (2),293 (3),678 (4)
2456,2,pricey,pos,vegan,neg,False,sushi,16.0,2 (0),13 (2),678 (4),0 (1),3 (5)
2456,3,expensive,pos,parking,neg,False,sushi,16.0,2 (0),242 (6),3 (5),0 (1),34 (8)
2456,4,scallop,pos,scallop,pos,True,sushi,16.0,2 (0),242 (6),16 (116),34 (8),0 (1)
2456,5,fish,pos,fish,pos,True,sushi,16.0,2 (0),242 (6),16 (116),34 (8),0 (1)
1431,1,steamed,pos,chinese,neg,False,pork,3.0,13 (0),154 (1),3 (2),118 (3),0 (4)
1431,2,mayo,pos,plaza,neg,False,fry,3.0,13 (0),3 (2),0 (4),2 (10),10 (12)
1431,3,sausage,neg,bacon,neg,True,fry,3.0,13 (0),3 (2),0 (4),2 (10),10 (12)
1431,4,burger,neg,coffee,neg,True,fry,3.0,13 (0),3 (2),0 (4),2 (10),10 (12)
1431,5,juicy,neg,bun,pos,False,fry,3.0,13 (0),3 (2),0 (4),2 (10),10 (12)
540,1,vietnamese,neg,pork,neg,True,tea,159.0,355 (0),379 (1),365 (2),96 (3),761 (4)
540,2,bubble,pos,fruit,neg,False,tea,159.0,355 (0),379 (1),365 (2),761 (4),96 (3)
540,3,bubble tea,pos,milk tea,pos,True,tea,159.0,355 (0),379 (1),365 (2),761 (4),96 (3)
540,4,matcha,neg,milk,pos,False,tea,159.0,355 (0),379 (1),315 (6),365 (2),761 (4)
540,5,milk,pos,chocolate,neg,False,tea,159.0,355 (0),379 (1),315 (6),761 (4),365 (2)
57,1,spicy,pos,soup,neg,False,taco,18.0,130 (0),294 (1),142 (2),151 (3),468 (4)
57,2,octopus,neg,pizza,neg,True,taco,18.0,536 (17),64 (50),151 (3),945 (14),1268 (348)
57,3,sour,pos,gravy,neg,False,taco,18.0,536 (17),64 (50),151 (3),945 (14),1268 (348)
57,4,market,neg,espresso,neg,True,taco,18.0,18 (57),536 (17),151 (3),64 (50),945 (14)
57,5,fish,pos,egg,neg,False,taco,18.0,18 (57),536 (17),151 (3),64 (50),945 (14)
3789,1,quick,neg,curry,neg,True,thai,185.0,0 (0),1 (1),2 (2),4 (3),6 (4)
3789,2,yummy,neg,chair,neg,True,thai,185.0,0 (0),1 (1),2 (2),4 (3),6 (4)
3789,3,downtown,neg,expensive,neg,True,thai,185.0,0 (0),1 (1),2 (2),4 (3),6 (4)
3789,4,busy,neg,fry,neg,True,thai,185.0,0 (0),1 (1),2 (2),4 (3),12 (5)
3789,5,reasonable,neg,patty,neg,True,thai,185.0,0 (0),1 (1),2 (2),4 (3),6 (4)
1192,1,modern,neg,solid,neg,True,oyster,63.0,7 (0),5 (1),58 (2),26 (3),3 (4)
1192,2,shrimp,neg,curry,neg,True,oyster,63.0,7 (0),5 (1),58 (2),26 (3),3 (4)
1192,3,calamari,pos,attentive,neg,False,oyster,63.0,7 (0),5 (1),58 (2),26 (3),3 (4)
1192,4,baked,neg,steak,neg,True,oyster,63.0,26 (3),211 (7),7 (0),58 (2),5 (1)
1192,5,seafood,pos,shrimp,neg,False,oyster,63.0,26 (3),211 (7),7 (0),5 (1),58 (2)
1062,1,kimchi,neg,noodle,neg,True,fried chicken,13.0,320 (0),0 (1),1190 (2),24 (3),136 (4)
1062,2,juicy,pos,bun,neg,False,fried chicken,13.0,320 (0),0 (1),1190 (2),24 (3),136 (4)
1062,3,pork,pos,spicy,neg,False,chicken,13.0,320 (0),1190 (2),0 (1),136 (4),192 (5)
1062,4,spicy,neg,soup,neg,True,chicken,13.0,192 (5),58 (6),320 (0),95 (12),18 (9)
1062,5,fried chicken,pos,rib,pos,True,chicken,13.0,192 (5),58 (6),320 (0),95 (12),18 (9)
944,1,quick,neg,curry,pos,False,thai,107.0,346 (0),645 (1),481 (2),279 (3),84 (4)
944,2,casual,neg,solid,neg,True,thai,107.0,346 (0),481 (2),645 (1),279 (3),84 (4)
944,3,yummy,neg,chair,neg,True,thai,107.0,346 (0),481 (2),645 (1),279 (3),84 (4)
944,4,reasonable,neg,patty,neg,True,thai,107.0,346 (0),481 (2),645 (1),279 (3),84 (4)
944,5,downtown,neg,expensive,neg,True,thai,107.0,346 (0),481 (2),645 (1),279 (3),84 (4)
4138,1,spicy,pos,soup,neg,False,taco,2.0,16 (0),1 (1),9 (2),2 (3),6 (4)
4138,2,octopus,pos,pizza,neg,False,taco,2.0,102 (14),16 (0),9 (2),101 (21),11 (5)
4138,3,tuna,pos,japanese,neg,False,taco,2.0,102 (14),16 (0),9 (2),50 (7),11 (5)
4138,4,chip,neg,chip,neg,True,taco,2.0,50 (7),9 (2),16 (0),7 (10),11 (5)
4138,5,shrimp,pos,shrimp,pos,True,taco,2.0,9 (2),50 (7),16 (0),102 (14),7 (10)
1957,1,noodle,neg,pork,pos,False,chicken,13.0,50 (0),259 (1),135 (2),164 (3),9 (4)
1957,2,crispy,pos,fast,neg,False,chicken,13.0,259 (1),50 (0),135 (2),164 (3),9 (4)
1957,3,wait,pos,dinner,pos,True,chicken,13.0,135 (2),50 (0),104 (5),9 (4),10 (8)
1957,4,curry,neg,fish,neg,True,chicken,13.0,135 (2),104 (5),68 (27),10 (8),207 (14)
1957,5,pork,pos,spicy,neg,False,chicken,13.0,135 (2),104 (5),68 (27),207 (14),10 (8)
313,1,vegan,neg,bakery,neg,True,crepe,116.0,573 (0),218 (1),944 (2),17 (3),267 (4)
313,2,banana,neg,strawberry,neg,True,crepe,116.0,573 (0),944 (2),218 (1),17 (3),267 (4)
313,3,japanese,neg,sashimi,neg,True,crepe,116.0,573 (0),944 (2),267 (4),17 (3),218 (1)
313,4,cake,neg,chocolate,neg,True,crepe,116.0,573 (0),944 (2),17 (3),267 (4),218 (1)
313,5,juice,pos,bar,neg,False,crepe,116.0,573 (0),944 (2),267 (4),17 (3),218 (1)
2679,1,quick,neg,curry,neg,True,thai,102.0,2 (0),5 (1),0 (2),10 (3),1 (4)
2679,2,yummy,neg,chair,neg,True,thai,102.0,2 (0),5 (1),0 (2),10 (3),1 (4)
2679,3,downtown,neg,expensive,neg,True,thai,102.0,2 (0),5 (1),0 (2),10 (3),1 (4)
2679,4,busy,neg,fry,neg,True,thai,102.0,2 (0),5 (1),0 (2),10 (3),1 (4)
2679,5,reasonable,neg,patty,neg,True,thai,102.0,2 (0),5 (1),0 (2),10 (3),1 (4)
1203,1,quick,pos,curry,pos,True,thai,0.0,207 (0),433 (1),0 (2),805 (3),41 (4)
1203,2,yummy,pos,chair,neg,False,thai,0.0,805 (3),41 (4),433 (1),72 (18),278 (134)
1203,3,wait,pos,dinner,pos,True,thai,0.0,0 (2),805 (3),41 (4),1 (8),14 (7)
1203,4,downtown,pos,expensive,neg,False,thai,0.0,41 (4),129 (11),805 (3),0 (2),207 (0)
1203,5,busy,pos,fry,neg,False,thai,0.0,0 (2),805 (3),1446 (297),41 (4),640 (53)
1349,1,fluffy,neg,bakery,neg,True,cheese,75.0,211 (0),13 (1),48 (2),154 (3),7 (4)
1349,2,cake,neg,chocolate,neg,True,cheese,75.0,211 (0),13 (1),48 (2),399 (6),7 (4)
1349,3,pizza,neg,bread,neg,True,cheese,75.0,211 (0),13 (1),48 (2),399 (6),7 (4)
1349,4,store,neg,ice cream,neg,True,cheese,75.0,211 (0),13 (1),48 (2),399 (6),7 (4)
1349,5,cheesecake,neg,milk tea,neg,True,cheese,75.0,211 (0),13 (1),48 (2),399 (6),266 (9)
6089,1,gelato,neg,sesame,neg,True,ice cream,5.0,0 (0),1 (1),4 (2),12 (3),60 (4)
6089,2,matcha,neg,milk,neg,True,ice cream,5.0,0 (0),1 (1),4 (2),12 (3),60 (4)
6089,3,tea,pos,salad,neg,False,ice cream,5.0,0 (0),1 (1),4 (2),12 (3),60 (4)
6089,4,green tea,neg,green tea,neg,True,ice cream,5.0,0 (0),1 (1),4 (2),22 (30),5 (13)
6089,5,cookie,pos,market,neg,False,ice cream,5.0,0 (0),1 (1),4 (2),22 (30),12 (3)
398,1,tempura,neg,japanese,neg,True,sushi,112.0,58 (0),462 (1),10 (2),35 (3),213 (4)
398,2,pricey,neg,vegan,neg,True,sushi,112.0,58 (0),462 (1),10 (2),35 (3),213 (4)
398,3,expensive,neg,parking,neg,True,sushi,112.0,58 (0),462 (1),10 (2),35 (3),213 (4)
398,4,modern,neg,solid,neg,True,sushi,112.0,58 (0),462 (1),10 (2),35 (3),213 (4)
398,5,salmon,pos,sushi,pos,True,sushi,112.0,58 (0),462 (1),10 (2),35 (3),213 (4)
214,1,squid,neg,meat,neg,True,cocktail,73.0,1181 (0),944 (1),1190 (2),323 (3),38 (4)
214,2,octopus,neg,pizza,neg,True,cocktail,73.0,1181 (0),944 (1),1190 (2),323 (3),38 (4)
214,3,roasted,neg,bread,neg,True,cocktail,73.0,1181 (0),944 (1),323 (3),1190 (2),38 (4)
214,4,music,neg,fry,pos,False,cocktail,73.0,1181 (0),944 (1),323 (3),1190 (2),38 (4)
214,5,bar,pos,busy,neg,False,cocktail,73.0,1181 (0),944 (1),38 (4),323 (3),1315 (5)
589,1,downtown,neg,expensive,neg,True,noodle,215.0,2207 (0),84 (1),403 (2),38 (3),42 (4)
589,2,pork,pos,spicy,neg,False,noodle,215.0,2207 (0),84 (1),403 (2),38 (3),645 (5)
589,3,quick,neg,curry,neg,True,noodle,215.0,84 (1),100 (16),339 (6),20 (14),645 (5)
589,4,beef,pos,salad,neg,False,noodle,215.0,84 (1),100 (16),645 (5),339 (6),20 (14)
589,5,ramen,neg,sashimi,neg,True,noodle,215.0,100 (16),645 (5),84 (1),315 (7),20 (14)
2620,1,quick,neg,curry,neg,True,thai,21.0,1 (0),147 (1),0 (2),3 (3),25 (4)
2620,2,yummy,neg,chair,neg,True,thai,21.0,147 (1),1 (0),0 (2),3 (3),25 (4)
2620,3,downtown,neg,expensive,neg,True,thai,21.0,147 (1),1 (0),0 (2),3 (3),25 (4)
2620,4,busy,neg,fry,neg,True,thai,21.0,147 (1),1 (0),0 (2),3 (3),9 (5)
2620,5,reasonable,neg,patty,neg,True,thai,21.0,1 (0),147 (1),0 (2),3 (3),9 (5)
2320,1,quick,neg,curry,neg,True,thai,143.0,1592 (0),827 (1),771 (2),3604 (3),149 (4)
2320,2,yummy,neg,chair,neg,True,thai,143.0,1592 (0),827 (1),771 (2),3604 (3),149 (4)
2320,3,downtown,neg,expensive,neg,True,thai,143.0,1592 (0),827 (1),771 (2),3604 (3),149 (4)
2320,4,busy,pos,fry,neg,False,thai,143.0,1592 (0),827 (1),771 (2),3604 (3),149 (4)
2320,5,belly,neg,fried,neg,True,pork,143.0,857 (21),193 (14),827 (1),3079 (12),143 (98)
1033,1,fresh,neg,chicken,neg,True,tart,86.0,559 (0),12 (1),401 (2),33 (3),57 (4)
1033,2,cheese,pos,beef,neg,False,tart,86.0,559 (0),12 (1),401 (2),33 (3),57 (4)
1033,3,croissant,neg,cookie,neg,True,tart,86.0,129 (22),33 (3),154 (9),12 (1),104 (5)
1033,4,matcha,pos,milk,neg,False,tart,86.0,129 (22),33 (3),154 (9),12 (1),104 (5)
1033,5,lemon,neg,bakery,neg,True,tart,86.0,33 (3),16 (35),12 (1),227 (63),73 (20)
184,1,modern,neg,solid,neg,True,oyster,22.0,516 (0),202 (1),1133 (2),93 (3),348 (4)
184,2,shrimp,pos,curry,neg,False,oyster,22.0,516 (0),202 (1),1133 (2),93 (3),348 (4)
184,3,sashimi,pos,salmon,pos,True,oyster,22.0,202 (1),179 (17),126 (8),186 (6),53 (5)
184,4,calamari,neg,attentive,neg,True,oyster,22.0,202 (1),226 (29),126 (8),122 (12),186 (6)
184,5,fresh,pos,chicken,neg,False,oyster,22.0,202 (1),226 (29),126 (8),122 (12),186 (6)
358,1,fish,neg,egg,neg,True,salmon,114.0,198 (0),288 (1),20 (2),82 (3),291 (4)
358,2,pricey,neg,vegan,neg,True,salmon,114.0,198 (0),288 (1),20 (2),880 (6),82 (3)
358,3,expensive,neg,parking,neg,True,salmon,114.0,198 (0),288 (1),20 (2),880 (6),82 (3)
358,4,fresh,neg,chicken,neg,True,salmon,114.0,198 (0),288 (1),880 (6),516 (5),20 (2)
358,5,modern,neg,solid,neg,True,salmon,114.0,198 (0),288 (1),880 (6),516 (5),20 (2)
6681,1,fast,pos,quick,pos,True,pizza,24.0,0 (0),22 (1),1 (2),365 (3),9 (4)
6681,2,italian,neg,pasta,neg,True,pizza,24.0,37 (11),0 (0),4 (5),1 (2),2 (7)
6681,3,calamari,neg,attentive,neg,True,pizza,24.0,37 (11),0 (0),4 (5),1 (2),2 (7)
6681,4,wine,neg,tomato,neg,True,pizza,24.0,37 (11),0 (0),4 (5),1 (2),2 (7)
6681,5,crust,pos,crust,pos,True,pizza,24.0,37 (11),0 (0),4 (5),1 (2),2 (7)
2298,1,downtown,neg,expensive,neg,True,noodle,109.0,355 (0),205 (1),77 (2),84 (3),27 (4)
2298,2,pork,pos,spicy,pos,True,noodle,109.0,77 (2),355 (0),27 (4),84 (3),205 (1)
