user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase,item_id
234,1,sequel,neg,sequel,neg,True,robots,261.0
234,2,arnold schwarzenegger,neg,arnold schwarzenegger,neg,True,robots,261.0
234,3,harrison ford,neg,harrison ford,neg,True,robots,261.0
234,4,dystopia,neg,dystopia,neg,True,robots,261.0
234,5,time travel,neg,time travel,neg,True,robots,261.0
2714,1,animation,neg,animation,neg,True,satire,1648.0
2714,2,space,neg,space,neg,True,satire,1648.0
2714,3,steven spielberg,neg,steven spielberg,neg,True,historical,1648.0
2714,4,religion,neg,religion,neg,True,satire,1648.0
2714,5,aliens,neg,aliens,neg,True,satire,1648.0
4686,1,boring,neg,boring,neg,True,magic,906.0
4686,2,adventure,neg,adventure,neg,True,magic,906.0
4686,3,predictable,neg,predictable,neg,True,magic,906.0
4686,4,epic,neg,epic,neg,True,magic,906.0
4686,5,overrated,neg,overrated,neg,True,magic,906.0
7910,1,drama,pos,drama,pos,True,war,13.0
7910,2,historical,pos,historical,pos,True,war,13.0
7910,3,dvd,pos,dvd,pos,True,war,13.0
7910,4,holocaust,neg,holocaust,neg,True,war,13.0
7910,5,classic,neg,classic,neg,True,war,13.0
3440,1,future,neg,future,neg,True,space,9.0
3440,2,sequel,neg,sequel,neg,True,space,9.0
3440,3,robots,neg,robots,neg,True,space,9.0
3440,4,adventure,neg,adventure,neg,True,space,9.0
3440,5,action,neg,action,neg,True,space,9.0
6019,1,organized crime,neg,organized crime,neg,True,dark comedy,188.0
6019,2,samuel l jackson,neg,samuel l jackson,neg,True,dark comedy,188.0
6019,3,dvd,pos,dvd,pos,True,dark comedy,188.0
6019,4,classic,pos,classic,pos,True,dark comedy,188.0
6019,5,interesting,neg,interesting,neg,True,dark comedy,188.0
713,1,oscar (best picture),neg,oscar (best picture),neg,True,fantasy,63.0
713,2,epic,pos,epic,pos,True,fantasy,63.0
713,3,boring,pos,boring,pos,True,fantasy,63.0
713,4,dvd,pos,dvd,pos,True,fantasy,63.0
713,5,sequel,neg,sequel,neg,True,fantasy,63.0
7922,1,quirky,neg,quirky,neg,True,time travel,48.0
7922,2,thriller,pos,thriller,pos,True,time travel,48.0
7922,3,post apocalyptic,neg,post apocalyptic,neg,True,time travel,48.0
7922,4,future,pos,future,pos,True,time travel,48.0
7922,5,great soundtrack,pos,great soundtrack,pos,True,arnold schwarzenegger,48.0
4887,1,crime,pos,crime,pos,True,violence,91.0
4887,2,organized crime,pos,organized crime,pos,True,violence,91.0
4887,3,mafia,neg,mafia,neg,True,violence,91.0
4887,4,racism,neg,racism,neg,True,violence,91.0
4887,5,seen more than once,neg,seen more than once,neg,True,violence,91.0
1656,1,drama,neg,drama,neg,True,war,127.0
1656,2,historical,neg,historical,neg,True,war,127.0
1656,3,dvd,pos,dvd,pos,True,war,127.0
1656,4,holocaust,neg,holocaust,neg,True,war,127.0
1656,5,classic,pos,classic,pos,True,war,127.0
4786,1,action,pos,action,pos,True,anime,614.0
4786,2,fantasy,neg,fantasy,neg,True,anime,614.0
4786,3,animation,pos,animation,pos,True,anime,614.0
4786,4,beautiful,neg,beautiful,neg,True,anime,614.0
4786,5,cute,neg,cute,neg,True,anime,614.0
7305,1,classic,neg,classic,neg,True,martin scorsese,97.0
7305,2,murder,neg,murder,neg,True,martin scorsese,97.0
7305,3,violent,pos,violent,pos,True,martin scorsese,97.0
7305,4,violence,pos,violence,pos,True,martin scorsese,97.0
7305,5,police,neg,police,neg,True,martin scorsese,97.0
1609,1,war,pos,war,pos,True,classic,110.0
1609,2,organized crime,neg,organized crime,neg,True,classic,110.0
1609,3,morgan freeman,neg,morgan freeman,neg,True,classic,110.0
1609,4,dvd,pos,dvd,pos,True,classic,110.0
1609,5,seen more than once,pos,seen more than once,pos,True,classic,110.0
2936,1,murder,neg,murder,neg,True,serial killer,2.0
2936,2,psychology,neg,psychology,neg,True,serial killer,2.0
2936,3,disturbing,pos,disturbing,pos,True,serial killer,2.0
2936,4,thriller,pos,thriller,pos,True,serial killer,2.0
2936,5,police,neg,police,neg,True,serial killer,2.0
3789,1,film noir,pos,film noir,pos,True,comic book,403.0
3789,2,revenge,neg,revenge,neg,True,comic book,403.0
3789,3,terrorism,neg,terrorism,neg,True,comic book,403.0
3789,4,dark,pos,dark,pos,True,comic book,403.0
3789,5,dystopia,neg,dystopia,neg,True,comic book,403.0
172,1,sci-fi,neg,sci-fi,neg,True,superhero,558.0
172,2,action,pos,action,pos,True,superhero,558.0
172,3,dvd,pos,dvd,pos,True,superhero,558.0
172,4,sequel,neg,sequel,neg,True,superhero,558.0
172,5,bruce willis,neg,bruce willis,neg,True,superhero,558.0
4315,1,war,neg,war,neg,True,action,6.0
4315,2,interesting,neg,interesting,neg,True,harrison ford,6.0
4315,3,adventure,neg,adventure,neg,True,harrison ford,6.0
4315,4,dvd,neg,dvd,neg,True,action,6.0
4315,5,nazis,neg,nazis,neg,True,harrison ford,6.0
4943,1,war,neg,war,neg,True,classic,69.0
4943,2,historical,neg,historical,neg,True,tom hanks,69.0
4943,3,dvd,neg,dvd,neg,True,tom hanks,69.0
4943,4,mafia,neg,mafia,neg,True,classic,69.0
