act,hidden_dim,sparse_normalization,dropout_ratio,pos_uk_num,neg_uk_num,pos_kk_num,neg_kk_num,kernel_method,temperature_tau_u,temperature_tau_k,learning_rate,weight_decay,batch_size,test_batch_size,early_stop,num_epochs,patience,anneal_cap,total_anneal_steps,use_default_hp,hp_contrastive_u,weighted_recon,NDCG,RMSE,best_epoch
tanh,150,False,0,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.2,0,False,0.01,1,"[0.0069, 0.0002]","[556.1846, 0]",70.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.2,0,False,0.1,1,"[0.0045, 0.0002]","[1989.0348, 0]",50.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.2,0,False,0.01,1,"[0.009, 0.0003]","[1517.0871, 0]",110.0
tanh,150,False,0,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.2,0,False,10.0,1,"[0.0042, 0.0002]","[1861.7108, 0]",60.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.2,0,False,0.5,1,"[0.1893, 0.0017]","[0.3414, 0]",70.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.01,1e-05,800,800,True,5000,100,0.2,0,False,10.0,1,"[0.0218, 0.0004]","[680.4254, 0]",60.0
tanh,150,False,0,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.2,0,False,0.01,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.2,0,False,0.1,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.2,0,False,0.01,1,"[0.0079, 0.0002]","[1635.1479, 0]",50.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.2,0,False,1.0,1,"[0.0098, 0.0004]","[14007.3102, 0]",110.0
tanh,150,False,0,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.2,0,False,0.001,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.2,0,False,10.0,1,"[0.0115, 0.0003]","[126.9095, 0]",100.0
tanh,150,False,0,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.2,0,False,0.01,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,150,False,0,2,2,5,100,BK,1,1,0.01,0.0001,800,800,True,5000,100,0.2,0,False,0.1,1,"[0.0004, 0.0001]","[nan, 0]",50.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.2,0,False,0.01,1,"[0.0068, 0.0002]","[1424.0325, 0]",60.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.2,0,False,1.0,1,"[0.0087, 0.0003]","[472.3618, 0]",70.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.2,0,False,0.5,1,"[0.0158, 0.0003]","[14206.3883, 0]",200.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.01,0.0,800,800,True,5000,100,0.2,0,False,10.0,1,"[0.007, 0.0002]","[976.6908, 0]",160.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,1e-05,800,800,True,5000,100,0.2,0,False,0.001,1,"[0.3062, 0.0021]","[0.3138, 0]",150.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,1e-05,800,800,True,5000,100,0.2,0,False,0.1,1,"[0.3082, 0.0021]","[0.3169, 0]",140.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,1e-05,800,800,True,5000,100,0.2,0,False,0.01,1,"[0.2961, 0.0021]","[0.2852, 0]",110.0
tanh,150,False,0,2,2,5,100,BK,1,1,0.0001,1e-05,800,800,True,5000,100,0.2,0,False,10.0,1,"[0.3008, 0.0021]","[0.3079, 0]",360.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,1e-05,800,800,True,5000,100,0.2,0,False,0.5,1,"[0.2958, 0.0022]","[0.2998, 0]",140.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,1e-05,800,800,True,5000,100,0.2,0,False,10.0,1,"[0.2861, 0.002]","[0.3317, 0]",110.0
tanh,150,False,0,2,2,5,100,BK,1,1,0.0001,0.0,800,800,True,5000,100,0.2,0,False,0.01,1,"[0.3132, 0.0022]","[0.2938, 0]",170.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.2,0,False,0.1,1,"[0.3005, 0.0021]","[0.2919, 0]",90.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.2,0,False,0.01,1,"[0.3014, 0.0021]","[0.2817, 0]",220.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.2,0,False,1.0,1,"[0.289, 0.0021]","[0.3359, 0]",130.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.2,0,False,0.5,1,"[0.2972, 0.0021]","[0.2823, 0]",130.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,0.0001,800,800,True,5000,100,0.2,0,False,10.0,1,"[0.2882, 0.0021]","[0.3431, 0]",110.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,0.0,800,800,True,5000,100,0.2,0,False,0.001,1,"[0.2929, 0.0022]","[0.313, 0]",140.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,0.0,800,800,True,5000,100,0.2,0,False,0.1,1,"[0.2992, 0.0021]","[0.3237, 0]",160.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,0.0,800,800,True,5000,100,0.2,0,False,0.01,1,"[0.2994, 0.002]","[0.3333, 0]",60.0
tanh,150,False,0,2,2,5,100,BK,1,1,0.0001,0.0001,800,800,True,5000,100,0.2,0,False,10.0,1,"[0.3022, 0.0021]","[0.3067, 0]",380.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,0.0,800,800,True,5000,100,0.2,0,False,0.5,1,"[0.2943, 0.0021]","[0.3069, 0]",170.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.001,0.0,800,800,True,5000,100,0.2,0,False,10.0,1,"[0.2861, 0.0021]","[0.3187, 0]",130.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.0001,1e-05,800,800,True,5000,100,0.2,0,False,0.001,1,"[0.3097, 0.0022]","[0.2991, 0]",260.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.0001,1e-05,800,800,True,5000,100,0.2,0,False,0.1,1,"[0.307, 0.0021]","[0.306, 0]",120.0
tanh,100,False,0,2,2,5,100,BK,1,1,0.0001,1e-05,800,800,True,5000,100,0.2,0,False,0.01,1,"[0.3084, 0.0022]","[0.2902, 0]",200.0
