user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase
1283,1,corn,pos,corn,pos,True,corn
1283,2,thai,neg,thai,neg,True,thai
1283,3,salmon,pos,salmon,pos,True,salmon
1283,4,baked,pos,baked,pos,True,baked
1283,5,noodle,pos,noodle,pos,True,noodle
132,1,chicken,pos,chicken,pos,True,chicken
132,2,indian,pos,indian,pos,True,indian
132,3,buffet,pos,buffet,pos,True,buffet
132,4,dumpling,neg,dumpling,neg,True,dumpling
132,5,fried,neg,fried,neg,True,fried
4756,1,wait,neg,wait,neg,True,wait
4756,2,thai,neg,thai,neg,True,thai
4756,3,curry,neg,curry,neg,True,curry
4756,4,taco,neg,taco,neg,True,taco
4756,5,vegetarian,pos,vegetarian,pos,True,vegetarian
1196,1,bread,pos,bread,pos,True,bread
1196,2,thai,neg,thai,neg,True,thai
1196,3,bakery,pos,bakery,pos,True,bakery
1196,4,croissant,pos,croissant,pos,True,croissant
1196,5,baked,pos,baked,pos,True,baked
1590,1,thai,neg,thai,neg,True,thai
1590,2,wait,neg,wait,neg,True,wait
1590,3,french,pos,french,pos,True,french
1590,4,chicken,neg,chicken,neg,True,chicken
1590,5,curry,neg,curry,neg,True,curry
2738,1,thai,pos,thai,pos,True,thai
2738,2,wait,pos,wait,pos,True,wait
2738,3,curry,pos,curry,pos,True,curry
2738,4,spicy,pos,spicy,pos,True,spicy
2738,5,tea,pos,tea,pos,True,tea
3797,1,thai,neg,thai,neg,True,thai
3797,2,fried chicken,pos,fried chicken,pos,True,fried chicken
3797,3,pork,neg,pork,neg,True,pork
3797,4,wait,neg,wait,neg,True,wait
3797,5,noodle,neg,noodle,neg,True,noodle
4766,1,thai,neg,thai,neg,True,thai
4766,2,wait,neg,wait,neg,True,wait
4766,3,noodle,neg,noodle,neg,True,noodle
4766,4,curry,neg,curry,neg,True,curry
4766,5,croissant,pos,croissant,pos,True,croissant
1547,1,ramen,pos,ramen,pos,True,ramen
1547,2,noodle,pos,noodle,pos,True,noodle
1547,3,bun,pos,bun,pos,True,bun
1547,4,pork,pos,pork,pos,True,pork
1547,5,bar,pos,bar,pos,True,bar
1677,1,thai,pos,thai,pos,True,thai
1677,2,curry,pos,curry,pos,True,curry
1677,3,wait,pos,wait,pos,True,wait
1677,4,beef,pos,beef,pos,True,beef
1677,5,chicken,pos,chicken,pos,True,chicken
6416,1,beer,pos,beer,pos,True,beer
6416,2,thai,neg,thai,neg,True,thai
6416,3,wait,neg,wait,neg,True,wait
6416,4,curry,neg,curry,neg,True,curry
6416,5,chicken,neg,chicken,neg,True,chicken
1873,1,breakfast,pos,breakfast,pos,True,breakfast
1873,2,wait,pos,wait,pos,True,wait
1873,3,chicken,neg,chicken,neg,True,chicken
1873,4,potato,pos,potato,pos,True,potato
1873,5,fry,neg,fry,neg,True,fry
2168,1,thai,pos,thai,pos,True,thai
2168,2,curry,pos,curry,pos,True,curry
2168,3,wait,pos,wait,pos,True,wait
2168,4,chicken,pos,chicken,pos,True,chicken
2168,5,beef,pos,beef,pos,True,beef
2216,1,thai,neg,thai,neg,True,thai
2216,2,wait,neg,wait,neg,True,wait
2216,3,octopus,pos,octopus,pos,True,octopus
2216,4,cocktail,pos,cocktail,pos,True,cocktail
2216,5,curry,neg,curry,neg,True,curry
5541,1,pork,pos,pork,pos,True,pork
5541,2,fry,pos,fry,pos,True,fry
5541,3,kimchi,pos,kimchi,pos,True,kimchi
5541,4,belly,pos,belly,pos,True,belly
5541,5,pork belly,pos,pork belly,pos,True,pork belly
1428,1,thai,neg,thai,neg,True,thai
1428,2,wait,neg,wait,neg,True,wait
1428,3,taco,pos,taco,pos,True,taco
1428,4,cocktail,pos,cocktail,pos,True,cocktail
