user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification
234,1,robots,pos,robots,pos,True
234,2,anime,neg,anime,neg,True
234,3,funny,pos,funny,pos,True
234,4,surreal,neg,surreal,neg,True
234,5,jim carrey,neg,jim carrey,neg,True
2714,1,comic book,neg,comic book,neg,True
2714,2,conspiracy,pos,conspiracy,pos,True
2714,3,based on a true story,pos,based on a true story,pos,True
2714,4,historical,pos,historical,pos,True
2714,5,satire,neg,satire,neg,True
4686,1,magic,pos,magic,pos,True
4686,2,based on a book,pos,based on a book,pos,True
4686,3,james bond,neg,james bond,neg,True
4686,4,dark,pos,dark,pos,True
4686,5,comic book,neg,comic book,neg,True
7910,1,war,pos,war,pos,True
7910,2,oscar (best picture),pos,oscar (best picture),pos,True
7910,3,action,neg,action,neg,True
7910,4,crime,neg,crime,neg,True
7910,5,sci-fi,neg,sci-fi,neg,True
3440,1,space,pos,space,pos,True
3440,2,true story,pos,true story,pos,True
3440,3,tom hanks,pos,tom hanks,pos,True
3440,4,sci-fi,neg,sci-fi,neg,True
3440,5,historical,pos,historical,pos,True
6019,1,dark comedy,pos,dark comedy,pos,True
6019,2,sci-fi,neg,sci-fi,neg,True
6019,3,serial killer,neg,serial killer,neg,True
6019,4,action,neg,action,neg,True
6019,5,crime,neg,crime,neg,True
713,1,fantasy,pos,fantasy,pos,True
713,2,dvd,pos,dvd,pos,True
713,3,magic,pos,magic,pos,True
713,4,overrated,pos,overrated,pos,True
713,5,based on a book,pos,based on a book,pos,True
7922,1,time travel,pos,time travel,pos,True
7922,2,arnold schwarzenegger,pos,arnold schwarzenegger,pos,True
7922,3,sci-fi,pos,sci-fi,pos,True
7922,4,nudity (topless),pos,nudity (topless),pos,True
7922,5,terrorism,pos,terrorism,pos,True
4887,1,violence,pos,violence,pos,True
4887,2,classic,neg,classic,neg,True
4887,3,organized crime,pos,organized crime,pos,True
4887,4,nonlinear,pos,nonlinear,pos,True
4887,5,tom hanks,neg,tom hanks,neg,True
1656,1,war,pos,war,pos,True
1656,2,classic,pos,classic,pos,True
1656,3,disturbing,pos,disturbing,pos,True
1656,4,based on a book,pos,based on a book,pos,True
1656,5,holocaust,neg,holocaust,neg,True
4786,1,anime,pos,anime,pos,True
4786,2,japan,pos,japan,pos,True
4786,3,comic book,pos,comic book,pos,True
4786,4,future,pos,future,pos,True
4786,5,animation,pos,animation,pos,True
7305,1,martin scorsese,pos,martin scorsese,pos,True
7305,2,mafia,pos,mafia,pos,True
7305,3,organized crime,pos,organized crime,pos,True
7305,4,fantasy,neg,fantasy,neg,True
7305,5,drugs,neg,drugs,neg,True
1609,1,classic,pos,classic,pos,True
1609,2,oscar (best picture),pos,oscar (best picture),pos,True
1609,3,world war ii,pos,world war ii,pos,True
1609,4,film noir,pos,film noir,pos,True
1609,5,war,pos,war,pos,True
2936,1,serial killer,pos,serial killer,pos,True
2936,2,crime,pos,crime,pos,True
2936,3,cannibalism,pos,cannibalism,pos,True
2936,4,oscar (best picture),pos,oscar (best picture),pos,True
2936,5,drugs,neg,drugs,neg,True
3789,1,comic book,pos,comic book,pos,True
3789,2,bruce willis,pos,bruce willis,pos,True
3789,3,animation,neg,animation,neg,True
3789,4,serial killer,neg,serial killer,neg,True
3789,5,fantasy,neg,fantasy,neg,True
172,1,superhero,pos,superhero,pos,True
172,2,super-hero,pos,super-hero,pos,True
172,3,action,pos,action,pos,True
172,4,magic,neg,magic,neg,True
172,5,comic book,pos,comic book,pos,True
4315,1,harrison ford,pos,harrison ford,pos,True
4315,2,action,pos,action,pos,True
4315,3,sci-fi,neg,sci-fi,neg,True
4315,4,tom hanks,neg,tom hanks,neg,True
4315,5,classic,neg,classic,neg,True
4943,1,classic,pos,classic,pos,True
4943,2,sci-fi,neg,sci-fi,neg,True
4943,3,space,neg,space,neg,True
4943,4,oscar (best picture),neg,oscar (best picture),neg,True
4943,5,tom hanks,neg,tom hanks,neg,True
5002,1,sci-fi,pos,sci-fi,pos,True
5002,2,dystopia,pos,dystopia,pos,True
5002,3,martial arts,pos,martial arts,pos,True
5002,4,dvd,pos,dvd,pos,True
5002,5,action,pos,action,pos,True
1006,1,biography,pos,biography,pos,True
1006,2,music,pos,music,pos,True
1006,3,overrated,pos,overrated,pos,True
1006,4,drugs,pos,drugs,pos,True
1006,5,true story,pos,true story,pos,True
6346,1,harrison ford,pos,harrison ford,pos,True
6346,2,nazis,pos,nazis,pos,True
6346,3,classic,neg,classic,neg,True
6346,4,steven spielberg,pos,steven spielberg,pos,True
6346,5,space,neg,space,neg,True
2571,1,classic,pos,classic,pos,True
2571,2,holocaust,neg,holocaust,neg,True
2571,3,oscar (best picture),neg,oscar (best picture),neg,True
2571,4,girlie movie,pos,girlie movie,pos,True
2571,5,romance,pos,romance,pos,True
1474,1,alfred hitchcock,pos,alfred hitchcock,pos,True
1474,2,classic,pos,classic,pos,True
1474,3,psychology,pos,psychology,pos,True
1474,4,serial killer,pos,serial killer,pos,True
1474,5,hitchcock,pos,hitchcock,pos,True
4413,1,religion,pos,religion,pos,True
4413,2,hilarious,pos,hilarious,pos,True
4413,3,fantasy,neg,fantasy,neg,True
4413,4,nonlinear,neg,nonlinear,neg,True
4413,5,ghosts,neg,ghosts,neg,True
