user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase
234,1,dystopia,neg,dystopia,neg,True,robots
234,2,space,neg,space,neg,True,robots
234,3,future,neg,future,neg,True,robots
234,4,harrison ford,neg,harrison ford,neg,True,robots
234,5,arnold schwarzenegger,neg,arnold schwarzenegger,neg,True,robots
2714,1,dark,neg,dark,neg,True,comic book
2714,2,religion,neg,religion,neg,True,satire
2714,3,aliens,neg,aliens,neg,True,satire
2714,4,funny,neg,funny,neg,True,satire
2714,5,space,neg,space,neg,True,satire
4686,1,epic,neg,epic,neg,True,magic
4686,2,dvd,neg,dvd,neg,True,magic
4686,3,fantasy,neg,fantasy,neg,True,magic
4686,4,predictable,neg,predictable,neg,True,magic
4686,5,adventure,neg,adventure,neg,True,magic
7910,1,holocaust,neg,holocaust,neg,True,war
7910,2,africa,neg,africa,neg,True,war
7910,3,world war ii,neg,world war ii,neg,True,war
7910,4,dvd,pos,dvd,pos,True,war
7910,5,historical,pos,historical,pos,True,war
3440,1,adventure,neg,adventure,neg,True,space
3440,2,dvd,pos,dvd,pos,True,space
3440,3,sci-fi,neg,sci-fi,neg,True,space
3440,4,robots,neg,robots,neg,True,space
3440,5,sequel,neg,sequel,neg,True,space
6019,1,classic,pos,classic,pos,True,dark comedy
6019,2,crime,neg,crime,neg,True,dark comedy
6019,3,black comedy,neg,black comedy,neg,True,dark comedy
6019,4,dvd,pos,dvd,pos,True,dark comedy
6019,5,samuel l jackson,neg,samuel l jackson,neg,True,dark comedy
713,1,dvd,pos,dvd,pos,True,fantasy
713,2,overrated,pos,overrated,pos,True,fantasy
713,3,based on a book,pos,based on a book,pos,True,fantasy
713,4,boring,pos,boring,pos,True,fantasy
713,5,epic,pos,epic,pos,True,fantasy
7922,1,future,pos,future,pos,True,time travel
7922,2,great soundtrack,pos,great soundtrack,pos,True,arnold schwarzenegger
7922,3,time travel,pos,time travel,pos,True,arnold schwarzenegger
7922,4,violent,pos,violent,pos,True,arnold schwarzenegger
7922,5,action,pos,action,pos,True,arnold schwarzenegger
4887,1,racism,neg,racism,neg,True,violence
