user_id,step,critiquing_keyphrase,critique_polarity,clarification_keyphrase,clarification_polarity,accept_clarification,expert_keyphrase
1283,1,mexican,neg,mexican,neg,True,corn
1283,2,deep fried,pos,deep fried,pos,True,corn
1283,3,chewy,pos,chewy,pos,True,corn
1283,4,creamy,pos,creamy,pos,True,corn
1283,5,lettuce,neg,lettuce,neg,True,corn
132,1,curry,pos,curry,pos,True,chicken
132,2,pork,neg,pork,neg,True,chicken
132,3,fried,neg,fried,neg,True,chicken
132,4,wait,neg,wait,neg,True,chicken
132,5,crispy,neg,crispy,neg,True,chicken
4756,1,curry,neg,curry,neg,True,wait
4756,2,thai,neg,thai,neg,True,wait
4756,3,busy,neg,busy,neg,True,wait
4756,4,coconut,neg,coconut,neg,True,wait
4756,5,spicy,neg,spicy,neg,True,wait
1196,1,cheese,pos,cheese,pos,True,bread
1196,2,bakery,pos,bakery,pos,True,bread
1196,3,italian,neg,italian,neg,True,bread
1196,4,dinner,neg,dinner,neg,True,bread
1196,5,octopus,neg,octopus,neg,True,bread
1590,1,busy,neg,busy,neg,True,thai
1590,2,yummy,neg,yummy,neg,True,thai
1590,3,curry,neg,curry,neg,True,thai
1590,4,spicy,neg,spicy,neg,True,thai
1590,5,casual,neg,casual,neg,True,thai
2738,1,busy,pos,busy,pos,True,thai
2738,2,yummy,neg,yummy,neg,True,thai
2738,3,curry,pos,curry,pos,True,thai
2738,4,spicy,pos,spicy,pos,True,thai
2738,5,casual,neg,casual,neg,True,thai
3797,1,busy,neg,busy,neg,True,thai
3797,2,yummy,neg,yummy,neg,True,thai
3797,3,curry,neg,curry,neg,True,thai
3797,4,spicy,pos,spicy,pos,True,thai
3797,5,chicken,pos,chicken,pos,True,fried chicken
4766,1,busy,neg,busy,neg,True,thai
4766,2,yummy,neg,yummy,neg,True,thai
4766,3,curry,neg,curry,neg,True,thai
4766,4,spicy,neg,spicy,neg,True,thai
4766,5,casual,neg,casual,neg,True,thai
1547,1,spicy,pos,spicy,pos,True,ramen
1547,2,egg,pos,egg,pos,True,ramen
1547,3,noodle,pos,noodle,pos,True,ramen
1547,4,soup,pos,soup,pos,True,ramen
1547,5,salt,neg,salt,neg,True,ramen
1677,1,busy,pos,busy,pos,True,thai
1677,2,yummy,pos,yummy,pos,True,thai
1677,3,curry,pos,curry,pos,True,thai
1677,4,spicy,pos,spicy,pos,True,thai
1677,5,casual,pos,casual,pos,True,thai
6416,1,fry,pos,fry,pos,True,beer
6416,2,bar,pos,bar,pos,True,beer
6416,3,curry,neg,curry,neg,True,thai
6416,4,downtown,neg,downtown,neg,True,thai
6416,5,reasonable,neg,reasonable,neg,True,thai
